candidate_cell_id,from_state,to_state,reason_code,transition_count,hard_break_count
r2_s_pct_w250_q20_shared__d3__g2,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,3441,0
r2_s_pct_w250_q20_shared__d3__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4882,0
r2_s_pct_w250_q20_shared__d3__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w250_q20_shared__d3__g2,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,1337,0
r2_s_pct_w250_q20_shared__d3__g2,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,3,3
r2_s_pct_w250_q20_shared__d3__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,78,0
r2_s_pct_w250_q20_shared__d3__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,126,0
r2_s_pct_w250_q20_shared__d3__g2,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,1544,0
r2_s_pct_w250_q20_shared__d3__g2,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4883,0
r2_s_pct_w250_q20_shared__d3__g2,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,126,0
r2_s_pct_w250_q20_shared__d3__g2,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,78,0
r2_s_pct_w250_qt25_primary__d1__g0,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,13914,0
r2_s_pct_w250_qt25_primary__d1__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,6956,0
r2_s_pct_w250_qt25_primary__d1__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w250_qt25_primary__d1__g0,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,6956,0
r2_s_pct_w250_qt25_primary__d1__g0,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w250_qt25_primary__d1__g0,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,6957,0
r2_s_pct_w250_qt25_primary__d1__g0,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,6957,0
r2_s_pct_w250_qt25_primary__d1__g1,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,13513,0
r2_s_pct_w250_qt25_primary__d1__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,6956,0
r2_s_pct_w250_qt25_primary__d1__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w250_qt25_primary__d1__g1,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,6550,0
r2_s_pct_w250_qt25_primary__d1__g1,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,6,6
r2_s_pct_w250_qt25_primary__d1__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,802,0
r2_s_pct_w250_qt25_primary__d1__g1,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,7358,0
r2_s_pct_w250_qt25_primary__d1__g1,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,6957,0
r2_s_pct_w250_qt25_primary__d1__g1,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,802,0
r2_s_pct_w250_qt25_primary__d1__g2,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,13253,0
r2_s_pct_w250_qt25_primary__d1__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,6956,0
r2_s_pct_w250_qt25_primary__d1__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w250_qt25_primary__d1__g2,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,6289,0
r2_s_pct_w250_qt25_primary__d1__g2,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,7,7
r2_s_pct_w250_qt25_primary__d1__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,1322,0
r2_s_pct_w250_qt25_primary__d1__g2,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,7618,0
r2_s_pct_w250_qt25_primary__d1__g2,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,6957,0
r2_s_pct_w250_qt25_primary__d1__g2,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,1322,0
r2_s_pct_w250_qt25_primary__d2__g0,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,8648,0
r2_s_pct_w250_qt25_primary__d2__g0,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2633,0
r2_s_pct_w250_qt25_primary__d2__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,6956,0
r2_s_pct_w250_qt25_primary__d2__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w250_qt25_primary__d2__g0,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,4324,0
r2_s_pct_w250_qt25_primary__d2__g0,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,4324,0
r2_s_pct_w250_qt25_primary__d2__g0,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,6957,0
r2_s_pct_w250_qt25_primary__d2__g1,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,8487,0
r2_s_pct_w250_qt25_primary__d2__g1,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2633,0
r2_s_pct_w250_qt25_primary__d2__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,6956,0
r2_s_pct_w250_qt25_primary__d2__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w250_qt25_primary__d2__g1,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,4056,0
r2_s_pct_w250_qt25_primary__d2__g1,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,4,4
r2_s_pct_w250_qt25_primary__d2__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,322,0
r2_s_pct_w250_qt25_primary__d2__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,206,0
r2_s_pct_w250_qt25_primary__d2__g1,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,4588,0
r2_s_pct_w250_qt25_primary__d2__g1,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,6957,0
r2_s_pct_w250_qt25_primary__d2__g1,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,206,0
r2_s_pct_w250_qt25_primary__d2__g1,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,322,0
r2_s_pct_w250_qt25_primary__d2__g2,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,8380,0
r2_s_pct_w250_qt25_primary__d2__g2,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2633,0
r2_s_pct_w250_qt25_primary__d2__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,6956,0
r2_s_pct_w250_qt25_primary__d2__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w250_qt25_primary__d2__g2,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,3884,0
r2_s_pct_w250_qt25_primary__d2__g2,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,5,5
r2_s_pct_w250_qt25_primary__d2__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,536,0
r2_s_pct_w250_qt25_primary__d2__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,334,0
r2_s_pct_w250_qt25_primary__d2__g2,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,4759,0
r2_s_pct_w250_qt25_primary__d2__g2,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,6957,0
r2_s_pct_w250_qt25_primary__d2__g2,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,334,0
r2_s_pct_w250_qt25_primary__d2__g2,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,536,0
r2_s_pct_w250_qt25_primary__d3__g0,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,5284,0
r2_s_pct_w250_qt25_primary__d3__g0,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,4315,0
r2_s_pct_w250_qt25_primary__d3__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,6956,0
r2_s_pct_w250_qt25_primary__d3__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w250_qt25_primary__d3__g0,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,2642,0
r2_s_pct_w250_qt25_primary__d3__g0,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,2642,0
r2_s_pct_w250_qt25_primary__d3__g0,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,6957,0
r2_s_pct_w250_qt25_primary__d3__g1,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,5216,0
r2_s_pct_w250_qt25_primary__d3__g1,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,4315,0
r2_s_pct_w250_qt25_primary__d3__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,6956,0
r2_s_pct_w250_qt25_primary__d3__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w250_qt25_primary__d3__g1,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,2465,0
r2_s_pct_w250_qt25_primary__d3__g1,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,3,3
