formal_vector_id,candidate_q_vector_id,W,K,qP,qC,qT,qV,request_role,archetype,center_id,profile_type,state_or_step,year,partial_year,eligible_day_count,raw_state_day_count,confirmed_state_day_count,confirmed_year_share,delta,lift,selection_path_not_independently_confirmed
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,state,S_PCVT,2016,false,0,0,0,0.0,,,true
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,state,S_PCVT,2017,false,94589,248,76,0.03546430237984134,,,true
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,state,S_PCVT,2018,false,133028,525,138,0.06439570695286981,,,true
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,state,S_PCVT,2019,false,144923,1048,267,0.1245916938870742,,,true
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,state,S_PCVT,2020,false,151498,546,161,0.0751283247783481,,,true
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,state,S_PCVT,2021,false,160676,743,183,0.08539430704619692,,,true
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,state,S_PCVT,2022,false,171001,1169,353,0.16472235184321046,,,true
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,state,S_PCVT,2023,false,179443,1757,470,0.21931871208586096,,,true
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,state,S_PCVT,2024,false,186339,502,141,0.06579561362575828,,,true
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,state,S_PCVT,2025,false,190225,1202,320,0.14932337844143723,,,true
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,state,S_PCVT,2026,true,91644,120,34,0.015865608959402706,,,true
