formal_vector_id,candidate_q_vector_id,W,K,qP,qC,qT,qV,request_role,archetype,center_id,step_id,left_out_year,N,n11,n10,n01,n00,retention,target_marginal,lift,delta,nonanchor_target_rate,delta_nonanchor,joint_rate,independence_expected_joint_rate,joint_excess,selection_path_not_independently_confirmed
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,C_GIVEN_P,2026,1472356,142284,170508,203894,955670,0.4548837566178163,0.23511840886307386,1.9347007272524008,0.21976534775474246,0.17583678003111514,0.2790469765867012,0.09663695464955487,0.049949303935392396,0.04668765071416247,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,T_GIVEN_PC,2016,1565529,38192,100563,202053,1224721,0.2752477388202227,0.15345930992016119,1.7936203346895225,0.1217884289000615,0.141615280345731,0.13363245847449168,0.024395587689528587,0.013601310833572527,0.01079427685595606,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,T_GIVEN_PC,2017,1476879,36982,98168,188115,1153614,0.27363669996300405,0.15241397568792028,1.7953517630384297,0.12122272427508377,0.14020342408936529,0.13343327587363876,0.025040643140027043,0.013947485754907766,0.011093157385119278,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,T_GIVEN_PC,2018,1464773,36947,97982,185502,1144342,0.273825493407644,0.15186585225150928,1.8030748146999758,0.12195964115613472,0.13949154938473987,0.13433394402290413,0.02522370360458583,0.013989271770058497,0.011234431834527332,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,T_GIVEN_PC,2019,1453558,35060,91144,187844,1139510,0.27780419004152007,0.15335060589257532,1.8115623894966975,0.12445358414894475,0.14151763583791513,0.13628655420360494,0.02412012454955358,0.013314542568006626,0.010805581981546953,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,T_GIVEN_PC,2020,1446214,36942,97922,183149,1128201,0.2739203938782774,0.15218425488897216,1.7999259784011117,0.12173613898930521,0.13966446791474435,0.13425592596353303,0.0255439374808984,0.014191659983478478,0.011352277497419922,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,T_GIVEN_PC,2021,1435400,36093,94938,183807,1120562,0.2754539002220848,0.15319771492266965,1.7980287784392022,0.12225618529941518,0.14091641245690445,0.13453748776518037,0.025144907342900934,0.013984707944846263,0.011160199398054672,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,T_GIVEN_PC,2022,1426525,34718,93157,182637,1116013,0.2714995112414467,0.15236676539142321,1.7818814394594318,0.11913274585002351,0.1406360451237824,0.13086346611766433,0.024337463416343914,0.013658295595540382,0.010679167820803533,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,T_GIVEN_PC,2023,1418800,33821,88341,183309,1113329,0.2768536860889638,0.1530377784042853,1.8090545287294333,0.12381590768467851,0.14137253419998488,0.13548115188897894,0.023837750211446292,0.013176910829873345,0.010660839381572947,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,T_GIVEN_PC,2024,1413795,37131,99151,177302,1100211,0.2724571109904463,0.15167191848888983,1.7963583088085229,0.12078519250155645,0.13878684600469818,0.1336702649857481,0.026263355012572546,0.014620332081739492,0.011643022930833054,true
