step_id,W,q,year,N,n11,n10,n01,n00,anchor_true_count,target_true_count,retention,target_marginal_rate,lift,delta,delta_nonanchor,year_share_of_step_denominator
C_GIVEN_P,500,0.2,2018,70533,1963,2567,7848,58155,4530,9811,0.43333333333333335,0.13909801086016474,3.115309346651718,0.29423532247316864,0.31442964713725136,0.05582430141466202
C_GIVEN_P,500,0.2,2019,128944,15390,15527,12465,85562,30917,27855,0.49778439046479284,0.2160240104231294,2.304301218599614,0.2817603800416634,0.3706255464728314,0.10205448118770193
C_GIVEN_P,500,0.2,2020,140277,8640,10416,16911,104310,19056,25551,0.4534005037783375,0.18214675249684553,2.489204433036431,0.271253751281492,0.3138949725584994,0.11102413805657699
C_GIVEN_P,500,0.2,2021,147345,10466,12323,16976,107580,22789,27442,0.4592566589143885,0.18624317078964336,2.465897981478776,0.27301348812474513,0.32296454934118446,0.1166182027128206
C_GIVEN_P,500,0.2,2022,157023,14855,17526,18390,106252,32381,33245,0.4587566782990025,0.21172057596657815,2.1668025235838253,0.24703610233242437,0.3112141164017287,0.12427798733974842
C_GIVEN_P,500,0.2,2023,168744,36149,35666,16640,80289,71815,52789,0.5033628072129778,0.31283482671976487,1.6090369876365667,0.1905279804932129,0.3316907586000756,0.13355473208166005
C_GIVEN_P,500,0.2,2024,176563,6837,9272,21530,138924,16109,28367,0.4244211310447576,0.16066219989465516,2.6416987401084193,0.2637589311501024,0.2902393717866525,0.1397431858942193
C_GIVEN_P,500,0.2,2025,184354,24936,24744,22091,112583,49680,47027,0.5019323671497584,0.25509074931924447,1.9676619731968141,0.24684161783051395,0.3378992204399258,0.14590947872625015
C_GIVEN_P,500,0.2,2026,89699,4241,5760,9504,70194,10001,13745,0.42405759424057593,0.1532347071873711,2.767373018973112,0.27082288705320484,0.30480742485113077,0.07099349258636055
C_GIVEN_P,500,0.3,2018,70533,4282,3503,11208,51540,7785,15490,0.5500321130378933,0.2196135142415607,2.504545837889072,0.3304185987963326,0.37141287417769064,0.05582430141466202
C_GIVEN_P,500,0.3,2019,128944,26055,17526,15059,70304,43581,41114,0.5978522750740002,0.3188515944906316,1.8750173604402849,0.2790006805833686,0.421440949323968,0.10205448118770193
C_GIVEN_P,500,0.3,2020,140277,15854,13413,22817,88193,29267,38671,0.5417022585164178,0.2756759839460496,1.9649961914071927,0.26602627457036826,0.3361622170787095,0.11102413805657699
C_GIVEN_P,500,0.3,2021,147345,18606,14857,22269,91613,33463,40875,0.5560170935062606,0.2774101598289728,2.004314095233761,0.2786069336772878,0.3604725825212059,0.1166182027128206
C_GIVEN_P,500,0.3,2022,157023,27596,21252,21895,86280,48848,49491,0.5649361283982968,0.31518312603886056,1.792406006940368,0.2497530023594362,0.3625326155718581,0.12427798733974842
C_GIVEN_P,500,0.3,2023,168744,56032,36699,16513,59500,92731,72545,0.6042423784926292,0.42991158204143554,1.4055038378435485,0.17433079645119365,0.38700322203255,0.13355473208166005
C_GIVEN_P,500,0.3,2024,176563,15302,13718,28291,119252,29020,43593,0.5272915230875258,0.24689770790029622,2.135667955655789,0.2803938151872296,0.3355440325254524,0.1397431858942193
C_GIVEN_P,500,0.3,2025,184354,40747,26236,25855,91516,66983,66602,0.608318528581879,0.3612723347472797,1.6838226182124216,0.24704619383459925,0.3880341312435245,0.14590947872625015
C_GIVEN_P,500,0.3,2026,89699,8437,7610,12605,61047,16047,21042,0.5257680563345174,0.23458455501176156,2.2412731149676777,0.29118350132275583,0.3546253853955069,0.07099349258636055
T_GIVEN_PC,120,0.1,2016,27827,339,2766,1020,23702,3105,1359,0.10917874396135266,0.04883746002084307,2.23555328050961,0.06034128394050959,0.06791994612946203,0.017797229140204585
T_GIVEN_PC,120,0.1,2017,120518,526,3435,6479,110078,3961,7005,0.13279474880080788,0.05812409764516504,2.284676307776697,0.07467065115564284,0.0772082117416866,0.0770793280453939
T_GIVEN_PC,120,0.1,2018,134378,435,3331,7470,123142,3766,7905,0.11550716941051513,0.05882659363883969,1.9635195965902847,0.056680575771675436,0.0583148746749625,0.08594372578439687
T_GIVEN_PC,120,0.1,2019,144350,765,6299,6835,130451,7064,7600,0.1082955832389581,0.052649809490820924,2.056903610597842,0.05564577374813718,0.058509006311958996,0.09232148727453666
T_GIVEN_PC,120,0.1,2020,151961,383,3212,8342,140024,3595,8725,0.10653685674547983,0.05741604753851317,1.8555240444584369,0.04912080920696666,0.05031103681368953,0.09718923122775107
T_GIVEN_PC,120,0.1,2021,162826,631,4766,8059,149370,5397,8690,0.11691680563275894,0.053369854937172195,2.1906899647824636,0.06354695069558675,0.06572547493765193,0.10413812599212821
T_GIVEN_PC,120,0.1,2022,172988,866,5706,9114,157302,6572,9980,0.1317711503347535,0.05769186301940019,2.284050877165164,0.07407928731535332,0.07700478171635143,0.11063740520019084
T_GIVEN_PC,120,0.1,2023,181754,1016,8409,9058,163271,9425,10074,0.10779840848806366,0.05542656557764891,1.9448870296148026,0.052371842910414745,0.05523615837345729,0.11624384896498882
T_GIVEN_PC,120,0.1,2024,186108,382,2519,10759,172448,2901,11141,0.13167873147190623,0.05986309024867281,2.1996647838410848,0.07181564122323342,0.07295280942744287,0.11902852340623117
T_GIVEN_PC,120,0.1,2025,189646,1272,9038,8908,170428,10310,10180,0.12337536372453928,0.053678959746053176,2.298393342721412,0.0696964039784861,0.07370323988994945,0.12129131122734174
T_GIVEN_PC,120,0.1,2026,91202,78,623,4734,85767,701,4812,0.11126961483594865,0.05276200083331506,2.108896802216997,0.05850761400263359,0.05896080056870298,0.058329783736836116
T_GIVEN_PC,120,0.2,2016,27827,1608,4670,2156,19393,6278,3764,0.25613252628225547,0.13526431163977432,1.8935706187184707,0.12086821464248115,0.15608147982998388,0.017797229140204585
T_GIVEN_PC,120,0.2,2017,120518,2818,7065,16305,94330,9883,19123,0.2851360922796722,0.1586733931860801,1.7970000297736513,0.1264626990935921,0.13775958394144286,0.0770793280453939
T_GIVEN_PC,120,0.2,2018,134378,2853,7251,18962,105312,10104,21815,0.28236342042755347,0.16234056169908764,1.739327605327242,0.12002285872846583,0.12978122302503967,0.08594372578439687
T_GIVEN_PC,120,0.2,2019,144350,4740,14089,16537,108984,18829,21277,0.2517393382548197,0.14739868375476273,1.7078805036933413,0.10434065450005697,0.11999245924652627,0.09232148727453666
T_GIVEN_PC,120,0.2,2020,151961,2858,7311,21213,120579,10169,24071,0.28105025076212015,0.15840248484808603,1.7742793052246495,0.12264776591403412,0.1314437849530477,0.09718923122775107
T_GIVEN_PC,120,0.2,2021,162826,3707,10295,20673,128151,14002,24380,0.26474789315812025,0.149730387038925,1.768164087422645,0.11501750611919526,0.1258388462302054,0.10413812599212821
T_GIVEN_PC,120,0.2,2022,172988,5082,12076,21859,133971,17158,26941,0.2961883669425341,0.15573912641339283,1.9018237341099102,0.14044924052914126,0.1559137086610735,0.11063740520019084
T_GIVEN_PC,120,0.2,2023,181754,5979,16892,21436,137447,22871,27415,0.2614227624502645,0.15083574501799135,1.7331618736598715,0.11058701743227317,0.12650587392222817,0.11624384896498882
T_GIVEN_PC,120,0.2,2024,186108,2669,6082,27339,150018,8751,30008,0.3049937150039995,0.16123971027575387,1.8915545958399207,0.14375400472824565,0.15084699398368456,0.11902852340623117
T_GIVEN_PC,120,0.2,2025,189646,6695,17544,21407,144000,24239,28102,0.27620776434671396,0.14818134840703204,1.8639846871146866,0.12802641593968192,0.14678760679594524,0.12129131122734174
T_GIVEN_PC,120,0.2,2026,91202,791,1958,12142,76311,2749,12933,0.2877409967260822,0.14180610074340474,2.029115780051972,0.14593489598267748,0.15047035582074267,0.058329783736836116
T_GIVEN_PC,120,0.3,2016,27827,3422,5684,2956,15765,9106,6378,0.37579617834394907,0.22920185431415532,1.6395861170864017,0.14659432402979375,0.2178986301360542,0.017797229140204585
T_GIVEN_PC,120,0.3,2017,120518,7064,10278,24309,78867,17342,31373,0.40733479414139084,0.2603179608025357,1.564758700804263,0.14701683333885512,0.1717276762069875,0.0770793280453939
T_GIVEN_PC,120,0.3,2018,134378,7844,10376,28232,87926,18220,36076,0.4305159165751921,0.2684665644673979,1.6036109279726458,0.1620493521077942,0.18746765472495364,0.08594372578439687
T_GIVEN_PC,120,0.3,2019,144350,12061,19770,23553,88966,31831,35614,0.37890735446577234,0.24671977831659161,1.5357802161266423,0.13218757614918072,0.16958270707288758,0.09232148727453666
