candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,state_name,confirmed_intervals,confirmed_interval_total_duration,mean_duration,median_duration,q25_duration,q75_duration,q90_duration,fragment_rate,open_intervals,cross_year_intervals
W250_K3_P15_C20_T20_V20,250,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,S_P,16070,193362,12.032482887367767,7.0,3.0,17.0,29.0,0.11425015556938395,0,1131
W250_K3_P15_C20_T20_V20,250,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,S_PC,9654,82819,8.578723845038326,6.0,3.0,12.0,20.0,0.1331054485187487,0,502
W250_K3_P15_C20_T20_V20,250,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,S_PCT,3950,8771,2.220506329113924,2.0,1.0,3.0,4.0,0.4539240506329114,0,30
W250_K3_P15_C20_T20_V20,250,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,S_PCVT,919,1944,2.115342763873776,2.0,1.0,3.0,4.0,0.4722524483133841,0,8
W250_K3_P25_C20_T20_V20,250,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,S_P,20769,311714,15.0086186142809,9.0,3.0,20.0,38.0,0.10313447927199192,0,1816
W250_K3_P25_C20_T20_V20,250,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,S_PC,12997,121226,9.327229360621683,6.0,3.0,13.0,22.0,0.12102792952219743,0,713
W250_K3_P25_C20_T20_V20,250,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,S_PCT,5686,12703,2.2340837143862116,2.0,1.0,3.0,4.0,0.4579669363348575,0,40
W250_K3_P25_C20_T20_V20,250,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,S_PCVT,1110,2317,2.0873873873873876,2.0,1.0,3.0,4.0,0.4846846846846847,0,8
W250_K3_P30_C20_T20_V20,250,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,S_P,22645,372587,16.45338926915434,10.0,4.0,22.0,41.0,0.09821152572311768,0,2147
W250_K3_P30_C20_T20_V20,250,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,S_PC,14478,137962,9.529078602016853,6.0,3.0,13.0,22.0,0.11638347838099185,0,805
W250_K3_P30_C20_T20_V20,250,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,S_PCT,6428,14474,2.2517112632233975,2.0,1.0,3.0,4.0,0.4567517112632234,0,42
W250_K3_P30_C20_T20_V20,250,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,S_PCVT,1181,2470,2.0914479254868756,2.0,1.0,3.0,4.0,0.489415749364945,0,9
W250_K3_P20_C10_T20_V20,250,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,S_P,18711,252341,13.486238041793598,8.0,3.0,18.0,34.0,0.10683555127999572,0,1474
W250_K3_P20_C10_T20_V20,250,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,S_PC,8537,58956,6.9059388543985,5.0,2.0,9.0,16.0,0.15462106126273867,0,342
W250_K3_P20_C10_T20_V20,250,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,S_PCT,3323,7298,2.1962082455612397,2.0,1.0,3.0,4.0,0.4673487812217875,0,22
W250_K3_P20_C10_T20_V20,250,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,S_PCVT,669,1346,2.0119581464872947,1.0,1.0,3.0,4.0,0.5201793721973094,0,3
W250_K3_P20_C15_T20_V20,250,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,S_P,18711,252341,13.486238041793598,8.0,3.0,18.0,34.0,0.10683555127999572,0,1474
W250_K3_P20_C15_T20_V20,250,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,S_PC,10211,82383,8.068063852707864,5.0,2.0,11.0,19.0,0.13867397904220938,0,498
W250_K3_P20_C15_T20_V20,250,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,S_PCT,4138,9189,2.220637989366844,2.0,1.0,3.0,4.0,0.4596423392943451,0,30
W250_K3_P20_C15_T20_V20,250,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,S_PCVT,860,1773,2.061627906976744,2.0,1.0,3.0,4.0,0.49534883720930234,0,7
W250_K3_P20_C25_T20_V20,250,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,S_P,18711,252341,13.486238041793598,8.0,3.0,18.0,34.0,0.10683555127999572,0,1474
W250_K3_P20_C25_T20_V20,250,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,S_PC,12482,121444,9.729530523954494,6.0,3.0,13.0,23.0,0.1264220477487582,0,737
W250_K3_P20_C25_T20_V20,250,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,S_PCT,5432,12133,2.233615611192931,2.0,1.0,3.0,4.0,0.45636966126656847,0,38
W250_K3_P20_C25_T20_V20,250,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,S_PCVT,1174,2450,2.0868824531516186,2.0,1.0,3.0,4.0,0.48637137989778534,0,8
W250_K3_P20_C30_T20_V20,250,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,S_P,18711,252341,13.486238041793598,8.0,3.0,18.0,34.0,0.10683555127999572,0,1474
W250_K3_P20_C30_T20_V20,250,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,S_PC,13253,137817,10.398928544480494,7.0,3.0,14.0,25.0,0.12072738247943862,0,828
W250_K3_P20_C30_T20_V20,250,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,S_PCT,5937,13344,2.247599797877716,2.0,1.0,3.0,4.0,0.4519117399359946,0,42
W250_K3_P20_C30_T20_V20,250,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,S_PCVT,1335,2812,2.106367041198502,2.0,1.0,3.0,4.0,0.48239700374531835,0,8
W250_K3_P20_C20_T10_V20,250,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,S_P,18711,252341,13.486238041793598,8.0,3.0,18.0,34.0,0.10683555127999572,0,1474
W250_K3_P20_C20_T10_V20,250,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,S_PC,11445,103013,9.000698995194409,6.0,3.0,12.0,21.0,0.12844036697247707,0,616
W250_K3_P20_C20_T10_V20,250,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,S_PCT,788,1225,1.5545685279187818,1.0,1.0,2.0,3.0,0.6573604060913706,0,3
W250_K3_P20_C20_T10_V20,250,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,S_PCVT,155,233,1.5032258064516129,1.0,1.0,2.0,3.0,0.6838709677419355,0,1
W250_K3_P20_C20_T15_V20,250,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,S_P,18711,252341,13.486238041793598,8.0,3.0,18.0,34.0,0.10683555127999572,0,1474
W250_K3_P20_C20_T15_V20,250,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,S_PC,11445,103013,9.000698995194409,6.0,3.0,12.0,21.0,0.12844036697247707,0,616
W250_K3_P20_C20_T15_V20,250,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,S_PCT,2575,4695,1.8233009708737864,1.0,1.0,2.0,3.0,0.5603883495145631,0,11
W250_K3_P20_C20_T15_V20,250,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,S_PCVT,529,919,1.7372400756143667,1.0,1.0,2.0,3.0,0.5746691871455577,0,2
W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,S_P,18711,252341,13.486238041793598,8.0,3.0,18.0,34.0,0.10683555127999572,0,1474
W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,S_PC,11445,103013,9.000698995194409,6.0,3.0,12.0,21.0,0.12844036697247707,0,616
W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,S_PCT,6958,18328,2.634090255820638,2.0,1.0,3.0,5.0,0.37841333716585224,0,62
W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,S_PCVT,1539,3600,2.3391812865497075,2.0,1.0,3.0,4.0,0.40870695256660167,0,15
W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,S_P,18711,252341,13.486238041793598,8.0,3.0,18.0,34.0,0.10683555127999572,0,1474
W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,S_PC,11445,103013,9.000698995194409,6.0,3.0,12.0,21.0,0.12844036697247707,0,616
W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,S_PCT,8562,27083,3.1631628124270033,2.0,1.0,4.0,7.0,0.30892314879701005,0,115
W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,S_PCVT,1936,5375,2.7763429752066116,2.0,1.0,4.0,6.0,0.3367768595041322,0,31
W250_K3_P20_C20_T20_V10,250,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,S_P,18711,252341,13.486238041793598,8.0,3.0,18.0,34.0,0.10683555127999572,0,1474
W250_K3_P20_C20_T20_V10,250,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,S_PC,11445,103013,9.000698995194409,6.0,3.0,12.0,21.0,0.12844036697247707,0,616
W250_K3_P20_C20_T20_V10,250,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,S_PCT,4884,10854,2.2223587223587224,2.0,1.0,3.0,4.0,0.4606879606879607,0,35
W250_K3_P20_C20_T20_V10,250,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,S_PCVT,422,837,1.9834123222748816,1.0,1.0,2.0,4.0,0.5165876777251185,0,2
W250_K3_P20_C20_T20_V15,250,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,S_P,18711,252341,13.486238041793598,8.0,3.0,18.0,34.0,0.10683555127999572,0,1474
W250_K3_P20_C20_T20_V15,250,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,S_PC,11445,103013,9.000698995194409,6.0,3.0,12.0,21.0,0.12844036697247707,0,616
W250_K3_P20_C20_T20_V15,250,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,S_PCT,4884,10854,2.2223587223587224,2.0,1.0,3.0,4.0,0.4606879606879607,0,35
W250_K3_P20_C20_T20_V15,250,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,S_PCVT,702,1440,2.051282051282051,2.0,1.0,3.0,4.0,0.4843304843304843,0,5
