W,changed_layer,metric,q10,q15,q20,q25,q30,delta_10_15,delta_15_20,delta_20_25,delta_25_30,left_slope,right_slope,monotonic_increasing,monotonic_decreasing,locally_flat,direction_reversal,boundary_response,isolated_spike_warning,classifications,baseline_attrition_share,confirmed_coverage_response_rank,nonflat_response_category_count
250,C,affected_delta,0.16924454032265512,0.21555126683373207,0.24910224727970684,0.2738076822115402,0.2901019558535684,0.04630672651107695,0.033550980445974765,0.024705434931833387,0.01629427364202818,0.6710196089194953,0.49410869863666773,true,false,false,false,true,false,material_constraint|unstable_response,0.14867192243644406,3,4
250,C,affected_lift,2.4773976049709083,2.3171381914774876,2.1758334909935626,2.053403257293605,1.9432363139705766,-0.16025941349342077,-0.14130470048392496,-0.12243023369995765,-0.11016694332302834,-2.826094009678499,-2.448604673999153,false,true,false,false,true,false,material_constraint|unstable_response,0.14867192243644406,3,4
250,C,fragment_rate,0.4673487812217875,0.4596423392943451,0.4606879606879607,0.45636966126656847,0.4519117399359946,-0.007706441927442409,0.0010456213936155812,-0.004318299421392224,-0.004457921330573877,0.020912427872311623,-0.08636598842784449,false,false,true,true,false,false,material_constraint|unstable_response,0.14867192243644406,3,4
250,T,confirmed_coverage,0.0008146728905458708,0.003122358547847235,0.007218334329783576,0.012188836520754873,0.018011253791554136,0.0023076856573013642,0.004095975781936341,0.004970502190971297,0.005822417270799263,0.08191951563872682,0.09941004381942593,true,false,false,false,true,false,material_constraint,0.25776838583187023,1,4
250,T,confirmed_intervals,788.0,2575.0,4884.0,6958.0,8562.0,1787.0,2309.0,2074.0,1604.0,46180.0,41480.0,true,false,false,false,true,false,material_constraint,0.25776838583187023,1,4
250,T,unique_securities,480.0,739.0,773.0,782.0,784.0,259.0,34.0,9.0,2.0,680.0,180.0,true,false,false,false,true,false,material_constraint,0.25776838583187023,1,4
250,T,baseline_retention,0.11286161783674221,0.4325594250967385,1.0,1.0,1.0,0.3196978072599963,0.5674405749032615,0.0,0.0,11.34881149806523,0.0,true,false,false,false,true,false,material_constraint,0.25776838583187023,1,4
250,T,affected_delta,0.03968428731081382,0.07471361698253907,0.11268133148527448,0.14731461188032288,0.17960476656781776,0.03502932967172526,0.03796771450273541,0.0346332803950484,0.03229015468749488,0.7593542900547081,0.692665607900968,true,false,false,false,true,false,material_constraint,0.25776838583187023,1,4
250,T,affected_lift,1.7927103435505005,1.770200147205745,1.7612427289417836,1.7392370853586436,1.7114908601812293,-0.022510196344755595,-0.008957418263961348,-0.022005643583139944,-0.02774622517741432,-0.17914836527922695,-0.4401128716627989,false,true,true,false,false,false,material_constraint,0.25776838583187023,1,4
250,T,fragment_rate,0.6573604060913706,0.5603883495145631,0.4606879606879607,0.37841333716585224,0.30892314879701005,-0.09697205657680752,-0.09970038882660237,-0.08227462352210846,-0.06949018836884219,-1.9940077765320474,-1.6454924704421692,false,true,false,false,true,false,material_constraint,0.25776838583187023,1,4
250,V,confirmed_coverage,0.0005567506515379489,0.0009578505832910948,0.001425467916661678,0.0018678086374176348,0.002388639892082168,0.0004010999317531459,0.0004676173333705831,0.0004423407207559569,0.000520831254664533,0.009352346667411662,0.008846814415119138,true,false,false,false,true,false,material_constraint|unstable_response,0.2827263170784546,4,4
250,V,confirmed_intervals,422.0,702.0,1024.0,1319.0,1674.0,280.0,322.0,295.0,355.0,6440.0,5900.0,true,false,false,false,true,false,material_constraint|unstable_response,0.2827263170784546,4,4
250,V,unique_securities,293.0,418.0,520.0,587.0,640.0,125.0,102.0,67.0,53.0,2040.0,1340.0,true,false,false,false,true,false,material_constraint|unstable_response,0.2827263170784546,4,4
250,V,baseline_retention,0.39057396173588427,0.6719552029864676,1.0,1.0,1.0,0.28138124125058334,0.3280447970135324,0.0,0.0,6.5608959402706475,0.0,true,false,false,false,true,false,material_constraint|unstable_response,0.2827263170784546,4,4
250,V,affected_delta,0.03871766378155541,0.0672272932442744,0.09942436011312905,0.13068644109817115,0.1681558319378822,0.02850962946271899,0.03219706686885465,0.0312620809850421,0.03746939083971104,0.643941337377093,0.625241619700842,true,false,false,false,true,false,material_constraint|unstable_response,0.2827263170784546,4,4
250,V,affected_lift,1.6199967011243939,1.7096191328434711,1.7667883424914916,1.7882797057591184,1.8129876580631237,0.08962243171907724,0.057169209648020525,0.021491363267626795,0.024707952304005243,1.1433841929604105,0.4298272653525359,true,false,false,false,true,false,material_constraint|unstable_response,0.2827263170784546,4,4
250,V,fragment_rate,0.5165876777251185,0.4843304843304843,0.48046875,0.4746019711902957,0.480884109916368,-0.032257193394634176,-0.003861734330484312,-0.0058667788097043205,0.006282138726072306,-0.07723468660968624,-0.11733557619408641,false,false,true,true,true,false,material_constraint|unstable_response,0.2827263170784546,4,4
