candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,profile_type,step_id,year,N,n11,n10,n01,n00,anchor_true_count,target_true_count,child_true_count,retention,target_marginal_rate,nonanchor_target_rate,lift,delta,delta_nonanchor,evaluable_securities,security_median_delta,security_q25_delta,security_q75_delta,security_median_lift
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,security_summary,T_GIVEN_PC,,1563558,64711,80322,334741,1083784,,,,,,,,,,791,0.19166193202511544,0.1468787604171767,0.23292283314937604,1.7472298056849205
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,security_summary,V_GIVEN_PCT,,1545035,17709,45289,238464,1243573,,,,,,,,,,790,0.10713649870969254,0.02018291415397199,0.19605464813837925,1.6392238973744782
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,pooled,C_GIVEN_P,,1563558,145033,175677,216341,1026507,320710,361374,145033,0.45222475133297996,0.23112286208762323,0.17406875177012796,1.956642225906378,0.22110188924535673,0.278155999562852,,,,,
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,pooled,T_GIVEN_PC,,1563558,39800,105233,200029,1218496,145033,239829,39800,0.27442030434452847,0.15338669879850955,0.14101196665550483,1.789074975171152,0.12103360554601891,0.13340833768902363,,,,,
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,pooled,V_GIVEN_PCT,,1545035,5799,32961,138618,1367657,38760,144417,5799,0.14961300309597522,0.09347166892659389,0.09202702029841828,1.6006240694543585,0.05614133416938133,0.057585982797556945,,,,,
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,security_summary,C_GIVEN_P,,1563558,145033,175677,216341,1026507,,,,,,,,,,793,0.221302212816667,0.17608047232109514,0.26783525218951815,1.9506486293489904
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,security_summary,T_GIVEN_PC,,1563558,39800,105233,200029,1218496,,,,,,,,,,791,0.12139878217491848,0.08619415228543786,0.15635273758220264,1.7844270656239374
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,security_summary,V_GIVEN_PCT,,1545035,5799,32961,138618,1367657,,,,,,,,,,790,0.035964310351361474,-0.025734303289956705,0.12100187494903167,1.4036974155819657
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,pooled,C_GIVEN_P,,1563558,145033,175677,216341,1026507,320710,361374,145033,0.45222475133297996,0.23112286208762323,0.17406875177012796,1.956642225906378,0.22110188924535673,0.278155999562852,,,,,
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,pooled,T_GIVEN_PC,,1563558,39800,105233,200029,1218496,145033,239829,39800,0.27442030434452847,0.15338669879850955,0.14101196665550483,1.789074975171152,0.12103360554601891,0.13340833768902363,,,,,
