candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,state_name,total_rows,valid_rows,unknown_rows,blocked_rows,diagnostic_required_rows,raw_state_days,confirmed_state_days,unique_securities,raw_coverage,confirmed_coverage,confirmed_intervals,confirmed_interval_total_duration,mean_duration,median_duration,q25_duration,q75_duration,q90_duration,fragment_rate,open_intervals,cross_year_intervals,nonzero_years,max_year_share,year_HHI,effective_years
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,S_PCVT,1730769,1602044,127087,1638,0,7328,1404,480,0.004574156515052021,0.0008763804240083294,776,1404,1.809278350515464,1.0,1.0,2.0,3.0,0.5657216494845361,0,2,11,0.17165242165242164,0.1154830317935731,8.659280800555258
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,S_P,1730769,1619612,111157,0,0,337590,275639,794,0.2084388112708476,0.1701882920106791,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420,11,0.15876925979269987,0.1090136642661192,9.173161976821964
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,S_PC,1730769,1602732,126422,1615,0,145033,107250,791,0.090491111427238,0.06691698924087121,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565,11,0.1764009324009324,0.11551593586211768,8.656814252828472
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,S_PCT,1730769,1602732,126422,1615,0,52420,20479,783,0.0327066533893377,0.012777557320874607,7673,20479,2.6689691124723054,2.0,1.0,3.0,5.0,0.3830314088361788,0,75,11,0.18164949460422872,0.11505869314435124,8.691216392884039
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,S_PCVT,1730769,1601361,127746,1662,0,14286,4799,681,0.008921161437052606,0.0029968258250325816,2037,4799,2.355915562101129,2.0,1.0,3.0,5.0,0.43888070692194403,0,18,11,0.15940821004375913,0.1158865188669533,8.62913141042814
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,S_P,1730769,1619612,111157,0,0,337590,275639,794,0.2084388112708476,0.1701882920106791,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420,11,0.15876925979269987,0.1090136642661192,9.173161976821964
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,S_PC,1730769,1602732,126422,1615,0,145033,107250,791,0.090491111427238,0.06691698924087121,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565,11,0.1764009324009324,0.11551593586211768,8.656814252828472
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,S_PCT,1730769,1602732,126422,1615,0,64711,29515,788,0.04037543394653629,0.018415430652161436,9499,29515,3.1071691757027056,2.0,1.0,4.0,6.0,0.3274028845141594,0,121,11,0.1840081314585804,0.1148451562155577,8.70737637487347
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,S_PCVT,1730769,1601019,128078,1672,0,17709,6988,723,0.011061080474372884,0.004364720218810645,2632,6988,2.655015197568389,2.0,1.0,3.0,5.0,0.3829787234042553,0,33,11,0.15168860904407555,0.11477923230239491,8.712377491473557
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,S_P,1730769,1619612,111157,0,0,337590,275639,794,0.2084388112708476,0.1701882920106791,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420,11,0.15876925979269987,0.1090136642661192,9.173161976821964
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,S_PC,1730769,1602732,126422,1615,0,145033,107250,791,0.090491111427238,0.06691698924087121,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565,11,0.1764009324009324,0.11551593586211768,8.656814252828472
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,S_PCT,1730769,1602732,126422,1615,0,39800,12480,777,0.02483259833833729,0.007786704202574104,5528,12480,2.2575976845151953,2.0,1.0,3.0,4.0,0.4547756874095514,0,33,11,0.17748397435897437,0.11459613586867193,8.726297727403374
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,S_PCVT,1730769,1601692,127424,1653,0,5799,1520,455,0.003620546272317025,0.0009489964362686459,746,1520,2.037533512064343,1.0,1.0,3.0,4.0,0.5067024128686327,0,4,11,0.17039473684210527,0.11397680055401663,8.773715309950935
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,S_P,1730769,1619612,111157,0,0,337590,275639,794,0.2084388112708476,0.1701882920106791,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420,11,0.15876925979269987,0.1090136642661192,9.173161976821964
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,S_PC,1730769,1602732,126422,1615,0,145033,107250,791,0.090491111427238,0.06691698924087121,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565,11,0.1764009324009324,0.11551593586211768,8.656814252828472
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,S_PCT,1730769,1602732,126422,1615,0,39800,12480,777,0.02483259833833729,0.007786704202574104,5528,12480,2.2575976845151953,2.0,1.0,3.0,4.0,0.4547756874095514,0,33,11,0.17748397435897437,0.11459613586867193,8.726297727403374
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,S_PCVT,1730769,1601692,127424,1653,0,8190,2156,539,0.005113342640158033,0.0013460765240757898,1052,2156,2.049429657794677,1.0,1.0,3.0,4.0,0.5038022813688213,0,4,11,0.17625231910946196,0.11504417925038121,8.692312870724281
W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,S_P,1730769,1619612,111157,0,0,337590,275639,794,0.2084388112708476,0.1701882920106791,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420,11,0.15876925979269987,0.1090136642661192,9.173161976821964
W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,S_PC,1730769,1602732,126422,1615,0,145033,107250,791,0.090491111427238,0.06691698924087121,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565,11,0.1764009324009324,0.11551593586211768,8.656814252828472
W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,S_PCT,1730769,1602732,126422,1615,0,39800,12480,777,0.02483259833833729,0.007786704202574104,5528,12480,2.2575976845151953,2.0,1.0,3.0,4.0,0.4547756874095514,0,33,11,0.17748397435897437,0.11459613586867193,8.726297727403374
W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,S_PCVT,1730769,1601692,127424,1653,0,13299,3723,669,0.008303094477589949,0.0023244169290974792,1769,3723,2.104578858111928,2.0,1.0,3.0,4.0,0.48049745618993783,0,7,11,0.1616975557346226,0.11571231210133319,8.642122707947156
W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,S_P,1730769,1619612,111157,0,0,337590,275639,794,0.2084388112708476,0.1701882920106791,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420,11,0.15876925979269987,0.1090136642661192,9.173161976821964
W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,S_PC,1730769,1602732,126422,1615,0,145033,107250,791,0.090491111427238,0.06691698924087121,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565,11,0.1764009324009324,0.11551593586211768,8.656814252828472
W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,S_PCT,1730769,1602732,126422,1615,0,39800,12480,777,0.02483259833833729,0.007786704202574104,5528,12480,2.2575976845151953,2.0,1.0,3.0,4.0,0.4547756874095514,0,33,11,0.17748397435897437,0.11459613586867193,8.726297727403374
W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,S_PCVT,1730769,1601692,127424,1653,0,16073,4567,704,0.010035012973780228,0.002851359687130859,2179,4567,2.095915557595227,2.0,1.0,3.0,4.0,0.49105094079853145,0,9,11,0.1569958397197285,0.11556093832771529,8.653443061911927
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_P,1730769,1516287,214482,0,0,300660,252341,789,0.19828699975664238,0.16642034126784705,18711,252341,13.486238041793598,8.0,3.0,18.0,34.0,0.10683555127999572,0,1474,10,0.21044538937390278,0.13866356142513298,7.211699957237277
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PC,1730769,1503671,226030,1068,0,132775,103013,787,0.08830056574875754,0.06850767222351166,11445,103013,9.000698995194409,6.0,3.0,12.0,21.0,0.12844036697247707,0,616,10,0.22768000155320203,0.1532164079146038,6.526716124015626
