candidate_cell_id,route_id,d,g,status,security_count,component_count,event_count,error,state_line,W,candidate_role,objective_values,hard_gate_status,warning_count,complexity,baseline_distance,pareto_status,decision_unit
r2_s_pct_w250_qt25_primary__d2__g0,r2_s_pct_w250_qt25_primary,2,0,completed,800,6957,4324,,S_PCT,250,primary,"{""qualified_event_count"":4324.0,""retained_confirmed_day_ratio"":0.8563243479209866,""bridged_day_ratio"":0.0,""merge_ratio"":0.0,""open_event_ratio"":0.0,""duration_q95_ratio"":1.1428571428571428,""component_qualification_rate"":0.6216216216216216,""qualification_delay_observations_q90"":1.0,""atomic_fragment_rate"":0.37846773034353887,""confirmed_density"":1.0,""mega_zone_concentration"":0.03715032179952845,""max_single_gap"":0.0}",passed,4,2,2,non_dominated,S_PCT×W250
r2_s_pct_w250_qt25_primary__d2__g1,r2_s_pct_w250_qt25_primary,2,1,completed,800,6957,4163,,S_PCT,250,primary,"{""qualified_event_count"":4163.0,""retained_confirmed_day_ratio"":0.8563243479209866,""bridged_day_ratio"":0.00995301681503462,""merge_ratio"":0.03699255344703339,""open_event_ratio"":0.0,""duration_q95_ratio"":1.2857142857142858,""component_qualification_rate"":0.6216216216216216,""qualification_delay_observations_q90"":1.0,""atomic_fragment_rate"":0.37846773034353887,""confirmed_density"":0.9701409495548962,""mega_zone_concentration"":0.04228486646884273,""max_single_gap"":1.0}",passed,4,2,3,dominated,S_PCT×W250
r2_s_pct_w250_qt25_primary__d2__g2,r2_s_pct_w250_qt25_primary,2,2,completed,800,6957,4056,,S_PCT,250,primary,"{""qualified_event_count"":4056.0,""retained_confirmed_day_ratio"":0.8563243479209866,""bridged_day_ratio"":0.022546897546897548,""merge_ratio"":0.060650887573964495,""open_event_ratio"":0.0,""duration_q95_ratio"":1.5714285714285714,""component_qualification_rate"":0.6216216216216216,""qualification_delay_observations_q90"":1.0,""atomic_fragment_rate"":0.37846773034353887,""confirmed_density"":0.9435425685425686,""mega_zone_concentration"":0.04563492063492063,""max_single_gap"":2.0}",passed,4,2,4,dominated,S_PCT×W250
r2_s_pct_w250_qt25_primary__d3__g0,r2_s_pct_w250_qt25_primary,3,0,completed,800,6957,2642,,S_PCT,250,primary,"{""qualified_event_count"":2642.0,""retained_confirmed_day_ratio"":0.6727600130961475,""bridged_day_ratio"":0.0,""merge_ratio"":0.0,""open_event_ratio"":0.0,""duration_q95_ratio"":1.2857142857142858,""component_qualification_rate"":0.37981598619896495,""qualification_delay_observations_q90"":2.0,""atomic_fragment_rate"":0.37846773034353887,""confirmed_density"":1.0,""mega_zone_concentration"":0.03074053045664693,""max_single_gap"":0.0}",passed,4,2,3,non_dominated,S_PCT×W250
r2_s_pct_w250_qt25_primary__d3__g1,r2_s_pct_w250_qt25_primary,3,1,completed,800,6957,2574,,S_PCT,250,primary,"{""qualified_event_count"":2574.0,""retained_confirmed_day_ratio"":0.6727600130961475,""bridged_day_ratio"":0.005425676214792946,""merge_ratio"":0.025252525252525252,""open_event_ratio"":0.0,""duration_q95_ratio"":1.4285714285714286,""component_qualification_rate"":0.37981598619896495,""qualification_delay_observations_q90"":2.0,""atomic_fragment_rate"":0.37846773034353887,""confirmed_density"":0.9837229713556211,""mega_zone_concentration"":0.03566584217665363,""max_single_gap"":1.0}",passed,4,2,4,dominated,S_PCT×W250
r2_s_pct_w250_qt25_primary__d3__g2,r2_s_pct_w250_qt25_primary,3,2,completed,800,6957,2531,,S_PCT,250,primary,"{""qualified_event_count"":2531.0,""retained_confirmed_day_ratio"":0.6727600130961475,""bridged_day_ratio"":0.0121135845197829,""merge_ratio"":0.04148557882259976,""open_event_ratio"":0.0,""duration_q95_ratio"":1.5714285714285714,""component_qualification_rate"":0.37981598619896495,""qualification_delay_observations_q90"":2.0,""atomic_fragment_rate"":0.37846773034353887,""confirmed_density"":0.9697946983402816,""mega_zone_concentration"":0.038149925273342246,""max_single_gap"":2.0}",passed,4,2,5,dominated,S_PCT×W250
r2_s_pcvt_w120_q20_shared__d1__g0,r2_s_pcvt_w120_q20_shared,1,0,completed,800,1425,1425,,S_PCVT,120,strict_core_reference,"{""qualified_event_count"":1425.0,""retained_confirmed_day_ratio"":1.0,""bridged_day_ratio"":0.0,""merge_ratio"":0.0,""open_event_ratio"":0.0,""duration_q95_ratio"":1.0,""component_qualification_rate"":1.0,""qualification_delay_observations_q90"":0.0,""atomic_fragment_rate"":0.4975438596491228,""confirmed_density"":1.0,""mega_zone_concentration"":0.048315753657706705,""max_single_gap"":0.0}",passed,0,1,1,non_dominated,S_PCVT×W120
r2_s_pcvt_w120_q20_shared__d1__g1,r2_s_pcvt_w120_q20_shared,1,1,completed,800,1425,1381,,S_PCVT,120,strict_core_reference,"{""qualified_event_count"":1381.0,""retained_confirmed_day_ratio"":1.0,""bridged_day_ratio"":0.014327580592640833,""merge_ratio"":0.03186097031136857,""open_event_ratio"":0.0,""duration_q95_ratio"":1.2,""component_qualification_rate"":1.0,""qualification_delay_observations_q90"":0.0,""atomic_fragment_rate"":0.4975438596491228,""confirmed_density"":0.9570172582220775,""mega_zone_concentration"":0.052425919895799415,""max_single_gap"":1.0}",passed,0,1,2,dominated,S_PCVT×W120
r2_s_pcvt_w120_q20_shared__d1__g2,r2_s_pcvt_w120_q20_shared,1,2,completed,800,1425,1355,,S_PCVT,120,strict_core_reference,"{""qualified_event_count"":1355.0,""retained_confirmed_day_ratio"":1.0,""bridged_day_ratio"":0.03018867924528302,""merge_ratio"":0.05092250922509225,""open_event_ratio"":0.0,""duration_q95_ratio"":1.2,""component_qualification_rate"":1.0,""qualification_delay_observations_q90"":0.0,""atomic_fragment_rate"":0.4975438596491228,""confirmed_density"":0.9242138364779874,""mega_zone_concentration"":0.055345911949685536,""max_single_gap"":2.0}",passed,0,1,3,dominated,S_PCVT×W120
r2_s_pcvt_w120_q20_shared__d2__g0,r2_s_pcvt_w120_q20_shared,2,0,completed,800,1425,716,,S_PCVT,120,strict_core_reference,"{""qualified_event_count"":716.0,""retained_confirmed_day_ratio"":0.7587614834977884,""bridged_day_ratio"":0.0,""merge_ratio"":0.0,""open_event_ratio"":0.0,""duration_q95_ratio"":1.2,""component_qualification_rate"":0.5024561403508772,""qualification_delay_observations_q90"":1.0,""atomic_fragment_rate"":0.4975438596491228,""confirmed_density"":1.0,""mega_zone_concentration"":0.037219730941704034,""max_single_gap"":0.0}",passed,0,1,2,non_dominated,S_PCVT×W120
r2_s_pcvt_w120_q20_shared__d2__g1,r2_s_pcvt_w120_q20_shared,2,1,completed,800,1425,705,,S_PCVT,120,strict_core_reference,"{""qualified_event_count"":705.0,""retained_confirmed_day_ratio"":0.7587614834977884,""bridged_day_ratio"":0.004860804242156429,""merge_ratio"":0.015602836879432624,""open_event_ratio"":0.0,""duration_q95_ratio"":1.4,""component_qualification_rate"":0.5024561403508772,""qualification_delay_observations_q90"":1.0,""atomic_fragment_rate"":0.4975438596491228,""confirmed_density"":0.9854175872735307,""mega_zone_concentration"":0.040653999116217414,""max_single_gap"":1.0}",passed,0,1,3,dominated,S_PCVT×W120
r2_s_pcvt_w120_q20_shared__d2__g2,r2_s_pcvt_w120_q20_shared,2,2,completed,800,1425,698,,S_PCVT,120,strict_core_reference,"{""qualified_event_count"":698.0,""retained_confirmed_day_ratio"":0.7587614834977884,""bridged_day_ratio"":0.010897994768962511,""merge_ratio"":0.025787965616045846,""open_event_ratio"":0.0,""duration_q95_ratio"":1.4,""component_qualification_rate"":0.5024561403508772,""qualification_delay_observations_q90"":1.0,""atomic_fragment_rate"":0.4975438596491228,""confirmed_density"":0.972101133391456,""mega_zone_concentration"":0.03879686137750654,""max_single_gap"":2.0}",passed,0,1,4,dominated,S_PCVT×W120
