candidate_cell_id,metric_id,independent_value,production_value,status
r2_s_pct_w120_q20_shared__d1__g1,event_diag_count,5268,5268,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_natural_count,5263,5263,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_quality_count,5,5,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_right_censored_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_component_q90,1,1,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_component_q95,1,1,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_component_mean,1.0487851176917236,1.0487851176917236,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_component_median,1.0,1.0,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_component_max,3,3,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_bridge_q90,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_bridge_q95,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_bridge_mean,0.04878511769172361,0.04878511769172361,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_bridge_median,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_bridge_max,2,2,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_duration_q90,5,5,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_duration_q95,7,7,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_zone_span_sum,13247,13247,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_zone_span_coverage,0.008265262065023971,0.008265262065023971,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_duration_mean,2.51461655277145,2.51461655277145,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_duration_median,2.0,2.0,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_max_zone_span,20,20,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_duration_q95_ratio,1.1666666666666667,1.1666666666666667,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_confirmed_density,0.9417981429757681,0.9417981429757681,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_bridge_count,257,257,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_bridged_days,257,257,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_raw_false_days,257,257,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_preconfirmation_days,514,514,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_total_gap_days,771,771,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_bridged_day_ratio,0.0194006190080773,0.0194006190080773,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_raw_false_ratio,0.0194006190080773,0.0194006190080773,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_nonconfirmed_ratio,0.058201857024231904,0.058201857024231904,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_max_single_gap,1,1,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_top_zone_share,0.0014427701186277653,0.0014427701186277653,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_merge_ratio,0.04726651480637813,0.04726651480637813,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_revision_count,257,257,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_mega_zone_concentration,0.0548048614780705,0.0548048614780705,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_open_ratio,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_active_pending,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_gap_pending,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_reentry_pending,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_confirmed_coverage,0.007784208464047639,0.007784208464047639,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_events_per_security_mean,6.77992277992278,6.77992277992278,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_events_per_security_median,7.0,7.0,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_events_per_security_q90,11,11,passed
r2_s_pct_w120_q20_shared__d1__g1,event_diag_events_per_security_max,17,17,passed
