pair_id,a_candidate_id,pcvt_indicator_id,pcvt_layer,tail_fraction,a_threshold,pcvt_threshold,a_selected_count,a_realized_rate,pcvt_selected_count,pcvt_realized_rate,intersection_count,union_count,jaccard,a_containment,pcvt_containment
A2b__C2_AdjVWAPSpread_5_60,A2b_BodyToMACloudGapMean20_5_60,C2_AdjVWAPSpread_5_60,C,0.05,0.0005241530591575839,0.006921398393576042,79395,0.05000025190630093,79395,0.05000025190630093,11681,147109,0.07940370745501635,0.14712513382454814,0.14712513382454814
A2b__C2_AdjVWAPSpread_5_60,A2b_BodyToMACloudGapMean20_5_60,C2_AdjVWAPSpread_5_60,C,0.1,0.0010055669955397971,0.00934820428754805,158790,0.10000050381260187,158790,0.10000050381260187,45756,271824,0.16832950732827123,0.28815416587946346,0.28815416587946346
A2b__P1_NATR14,A2b_BodyToMACloudGapMean20_5_60,P1_NATR14,P,0.01,0.0,0.011792399386173647,23721,0.014798460575805536,16030,0.010000393028546974,236,39515,0.005972415538403138,0.009948990346106825,0.014722395508421708
A2b__P1_NATR14,A2b_BodyToMACloudGapMean20_5_60,P1_NATR14,P,0.05,0.0005222050593880923,0.01598578678284574,80147,0.05000009357822547,80147,0.05000009357822547,11392,148902,0.07650669567903721,0.14213881991839994,0.14213881991839994
A2b__P1_NATR14,A2b_BodyToMACloudGapMean20_5_60,P1_NATR14,P,0.1,0.0010059734391789643,0.018751913181167576,160294,0.10000018715645094,160294,0.10000018715645094,43942,276646,0.15883837105904297,0.2741337791807554,0.2741337791807554
A2b__P2_LogRange20,A2b_BodyToMACloudGapMean20_5_60,P2_LogRange20,P,0.01,0.0,0.04113690556048945,23721,0.014798460575805536,16030,0.010000393028546974,411,39340,0.010447381799694967,0.017326419628177565,0.025639426076107297
A2b__P2_LogRange20,A2b_BodyToMACloudGapMean20_5_60,P2_LogRange20,P,0.05,0.0005222050593880923,0.06040912779555998,80147,0.05000009357822547,80164,0.05001069911044539,15472,144839,0.10682205759498478,0.19304527929928755,0.19300434110074347
A2b__P2_LogRange20,A2b_BodyToMACloudGapMean20_5_60,P2_LogRange20,P,0.1,0.0010059734391789643,0.07404102654700233,160294,0.10000018715645094,160296,0.10000143486612387,55434,265156,0.20906183529695727,0.34582704280883875,0.34582272795328645
A2b__T1_ER20,A2b_BodyToMACloudGapMean20_5_60,T1_ER20,T,0.01,0.0,0.0034682712800321613,23721,0.014798460575805536,16030,0.010000393028546974,206,39545,0.005209255278796308,0.008684288183466128,0.012850904553961323
A2b__T1_ER20,A2b_BodyToMACloudGapMean20_5_60,T1_ER20,T,0.05,0.0005222050593880923,0.019570738105121298,80147,0.05000009357822547,80147,0.05000009357822547,4664,155630,0.029968515067788987,0.05819307023344604,0.05819307023344604
A2b__T1_ER20,A2b_BodyToMACloudGapMean20_5_60,T1_ER20,T,0.1,0.0010059734391789643,0.03916567410207478,160294,0.10000018715645094,160294,0.10000018715645094,21459,299129,0.07173828014000648,0.13387275880569455,0.13387275880569455
A2b__T2_AbsTrendT20,A2b_BodyToMACloudGapMean20_5_60,T2_AbsTrendT20,T,0.01,0.0,0.07156031235177696,23721,0.014798460575805536,16030,0.010000393028546974,248,39503,0.00627800420221249,0.010454871211163104,0.015470991890205864
A2b__T2_AbsTrendT20,A2b_BodyToMACloudGapMean20_5_60,T2_AbsTrendT20,T,0.05,0.0005222050593880923,0.3579592192850394,80147,0.05000009357822547,80147,0.05000009357822547,4858,155436,0.031254020947528244,0.06061362246871374,0.06061362246871374
A2b__T2_AbsTrendT20,A2b_BodyToMACloudGapMean20_5_60,T2_AbsTrendT20,T,0.1,0.0010059734391789643,0.7179068117412867,160294,0.10000018715645094,160294,0.10000018715645094,21327,299261,0.0712655508068208,0.13304927196276842,0.13304927196276842
A2b__V1_TurnoverShrink20_60,A2b_BodyToMACloudGapMean20_5_60,V1_TurnoverShrink20_60,V,0.01,0.0,0.32646905852523844,23645,0.014797241185957108,15980,0.01000041929167243,156,39469,0.0039524690263244575,0.006597589342355678,0.009762202753441803
A2b__V1_TurnoverShrink20_60,A2b_BodyToMACloudGapMean20_5_60,V1_TurnoverShrink20_60,V,0.05,0.0005219278970351127,0.45419220355459594,79900,0.05000209645836215,79897,0.05000021903296321,3448,156349,0.022053227075325074,0.043153942428035046,0.043155562787088375
A2b__V1_TurnoverShrink20_60,A2b_BodyToMACloudGapMean20_5_60,V1_TurnoverShrink20_60,V,0.1,0.0010053908901937803,0.5367571864660654,159797,0.10000231549132535,159794,0.10000043806592641,18322,301269,0.060816081309394594,0.11465797230235862,0.11466012491082268
A2b__V2_LogAmount20_base,A2b_BodyToMACloudGapMean20_5_60,V2_LogAmount20_base,V,0.01,0.0,16.873486689898595,23721,0.014798460575805536,16030,0.010000393028546974,232,39519,0.005870593891545838,0.009780363391088065,0.014472863381160325
A2b__V2_LogAmount20_base,A2b_BodyToMACloudGapMean20_5_60,V2_LogAmount20_base,V,0.05,0.0005222050593880923,17.59442735236539,80147,0.05000009357822547,80147,0.05000009357822547,5758,154536,0.037259926489620544,0.07184298850861542,0.07184298850861542
A2b__V2_LogAmount20_base,A2b_BodyToMACloudGapMean20_5_60,V2_LogAmount20_base,V,0.1,0.0010059734391789643,17.996071325624776,160294,0.10000018715645094,160294,0.10000018715645094,22852,297736,0.07675255931429185,0.14256304041324067,0.14256304041324067
