layer,role,indicator_id,W,q,total_row_count,eligible_day_count,ineligible_day_count,hit_true_day_count,hit_false_day_count,hit_null_day_count,hit_rate,coverage,unique_security_count_hit,nonzero_year_count,segment_count,strict_onset_count,left_censored_start_count,total_hit_duration,mean_duration,std_duration,min_duration,q10,q25,q50,q75,q90,q95,q99,max_duration,single_day_segment_count,single_day_fragment_ratio
T,A,T1_ER20,250,0.2,1730769,1515495,215274,312481,1203014,215274,0.20619071656455482,0.18054460185039137,792,10,131749,131590,159,312481,2.371790298218582,1.9093078446935592,1,1.0,1.0,2.0,3.0,5.0,6.0,10.0,23,58555,0.44444360108995135
T,A,T1_ER20,250,0.3,1730769,1515495,215274,463385,1052110,215274,0.30576478312366584,0.2677335912533677,792,10,136110,135889,221,463385,3.4044890162368673,3.0904773008089497,1,1.0,1.0,2.0,4.0,7.0,10.0,15.0,48,45859,0.33692601572257735
T,A,T1_ER20,500,0.1,1730769,1318219,412550,136261,1181958,412550,0.10336749811677726,0.07872858827492288,785,9,88366,88274,92,136261,1.542007106805785,0.9416854932245556,1,1.0,1.0,1.0,2.0,3.0,3.0,5.0,14,57961,0.655919697621257
T,A,T1_ER20,500,0.2,1730769,1318219,412550,268814,1049405,412550,0.20392211005910246,0.15531477626419238,785,9,114630,114455,175,268814,2.3450580127366307,1.8554850845927278,1,1.0,1.0,2.0,3.0,5.0,6.0,9.0,20,51056,0.4453982378086016
T,A,T1_ER20,500,0.3,1730769,1318219,412550,400837,917382,412550,0.30407466437670827,0.23159474199041005,785,9,118667,118411,256,400837,3.3778303993528107,3.008932813166372,1,1.0,1.0,2.0,4.0,7.0,9.0,14.0,45,39453,0.3324681672242494
T,B,T2_AbsTrendT20,120,0.1,1730769,1619612,111157,183235,1436377,111157,0.11313512125126265,0.10586912522699447,796,11,79451,79352,99,183235,2.306264238335578,1.696131430249277,1,1.0,1.0,2.0,3.0,4.0,6.0,9.0,25,30380,0.3823740418622799
T,B,T2_AbsTrendT20,120,0.2,1730769,1619612,111157,345510,1274102,111157,0.21332887135931322,0.19962802661707021,797,11,82002,81803,199,345510,4.213433818687349,3.044301380737678,1,2.0,2.0,3.0,5.0,8.0,10.0,16.0,34,8011,0.09769273920148289
T,B,T2_AbsTrendT20,120,0.3,1730769,1619612,111157,504118,1115494,111157,0.31125849894913105,0.29126821661353997,797,11,80358,80077,281,504118,6.273401528161477,4.4211498002818725,1,2.0,3.0,5.0,8.0,12.0,15.0,22.0,44,3366,0.04188755319943254
T,B,T2_AbsTrendT20,250,0.1,1730769,1516287,214482,160657,1355630,214482,0.10595421579160146,0.09282405682098535,792,10,73958,73872,86,160657,2.1722734525000678,1.613616156745936,1,1.0,1.0,2.0,3.0,4.0,5.0,8.0,20,30685,0.41489764460910245
T,B,T2_AbsTrendT20,250,0.2,1730769,1516287,214482,312253,1204034,214482,0.20593264995347188,0.1804128684994936,792,10,75712,75550,162,312253,4.124220731191885,2.9635480164732355,1,2.0,2.0,3.0,5.0,8.0,10.0,15.0,36,6188,0.08173076923076923
T,B,T2_AbsTrendT20,250,0.3,1730769,1516287,214482,462262,1054025,214482,0.30486444848501637,0.26708474672241067,792,10,73736,73511,225,462262,6.269149397851796,4.357964598578808,1,3.0,4.0,5.0,8.0,12.0,15.0,22.0,55,2427,0.03291472279483563
T,B,T2_AbsTrendT20,500,0.1,1730769,1319004,411765,136769,1182235,411765,0.10369111844998195,0.07902209942516882,785,9,64800,64733,67,136769,2.1106327160493827,1.5840367990450053,1,1.0,1.0,2.0,2.0,4.0,5.0,8.0,20,28317,0.43699074074074074
T,B,T2_AbsTrendT20,500,0.2,1730769,1319004,411765,269663,1049341,411765,0.20444441411853187,0.15580530966293019,785,9,66005,65870,135,269663,4.085493523217938,2.906661016124521,1,2.0,2.0,3.0,5.0,8.0,10.0,15.0,37,4627,0.07010074994318612
T,B,T2_AbsTrendT20,500,0.3,1730769,1319004,411765,401967,917037,411765,0.30475040257648955,0.2322476309663508,785,9,64075,63865,210,401967,6.273382754584471,4.342156963427926,1,3.0,4.0,5.0,8.0,12.0,15.0,22.0,52,1869,0.029168942645337495
V,A,V1_TurnoverShrink20_60,120,0.1,1730769,1567078,163691,219500,1347578,163691,0.1400696072563076,0.12682223913185411,793,11,18475,18405,70,219500,11.880920162381596,10.676819753340398,1,1.0,3.0,9.0,19.0,27.0,32.0,44.0,71,2786,0.15079837618403247
V,A,V1_TurnoverShrink20_60,120,0.2,1730769,1567078,163691,346703,1220375,163691,0.22124169951974312,0.2003173155978643,793,11,22376,22231,145,346703,15.494413657490169,14.63968327298379,1,1.0,3.0,10.0,26.0,37.0,44.0,57.0,103,3097,0.1384072220235967
V,A,V1_TurnoverShrink20_60,120,0.3,1730769,1567078,163691,477695,1089383,163691,0.30483166760046404,0.2760015923557679,794,11,25271,25055,216,477695,18.90289264374184,18.251208088714918,1,1.0,3.0,12.0,31.0,47.0,54.0,68.0,108,3288,0.13010961180800126
V,A,V1_TurnoverShrink20_60,250,0.1,1730769,1464003,266766,161990,1302013,266766,0.11064868036472603,0.09359423470145352,784,10,13346,13286,60,161990,12.137719166791548,11.63873866468637,1,1.0,3.0,8.0,19.0,30.0,36.0,46.0,68,2116,0.15854937809081374
V,A,V1_TurnoverShrink20_60,250,0.2,1730769,1464003,266766,291230,1172773,266766,0.198927187990735,0.1682662446577215,788,10,18288,18165,123,291230,15.924650043744531,15.557126320412788,1,1.0,3.0,10.0,25.0,40.0,48.0,60.0,92,2482,0.13571741032370954
V,A,V1_TurnoverShrink20_60,250,0.3,1730769,1464003,266766,427413,1036590,266766,0.291948172237352,0.24694976625996884,789,10,22107,21925,182,427413,19.333830913285386,18.810636838193183,1,1.0,4.0,13.0,30.0,48.0,57.0,73.0,115,2648,0.11978106482109739
