source_level,layer,indicator_id,raw_source_indicator_id,W,validity_status,reason_code,total_row_count,reason_occurrence_count,row_count,row_prevalence,reason_occurrence_share
indicator_score,T,T1_ER20,T1_ER20,500,unknown,window_insufficient,1730769,1746769,16000,0.009244445677037201,0.009159768692941082
indicator_score,T,T1_ER20,T1_ER20,500,valid,valid_no_blocker,1730769,1746769,1318219,0.7616377459961439,0.7546613204150062
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,120,unknown,insufficient_strict_past_history,1730769,1745969,95957,0.05544182961446617,0.05495916594166334
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,120,unknown,raw_metric_not_valid,1730769,1745969,15200,0.00878222339318534,0.008705767399077533
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,120,unknown,window_insufficient,1730769,1745969,15200,0.00878222339318534,0.008705767399077533
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,120,valid,valid_no_blocker,1730769,1745969,1619612,0.9357759469923485,0.9276292992601816
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,250,unknown,insufficient_strict_past_history,1730769,1745969,199282,0.11514072646320797,0.11413833808045848
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,250,unknown,raw_metric_not_valid,1730769,1745969,15200,0.00878222339318534,0.008705767399077533
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,250,unknown,window_insufficient,1730769,1745969,15200,0.00878222339318534,0.008705767399077533
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,250,valid,valid_no_blocker,1730769,1745969,1516287,0.8760770501436067,0.8684501271213865
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,500,unknown,insufficient_strict_past_history,1730769,1745969,396565,0.22912647499464112,0.2271317531983672
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,500,unknown,raw_metric_not_valid,1730769,1745969,15200,0.00878222339318534,0.008705767399077533
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,500,unknown,window_insufficient,1730769,1745969,15200,0.00878222339318534,0.008705767399077533
indicator_score,T,T2_AbsTrendT20,T2_AbsTrendT20,500,valid,valid_no_blocker,1730769,1745969,1319004,0.7620913016121735,0.7554567120034777
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,blocked,provider_turnover_crosscheck_fail,1730769,1800652,1242,0.0007176000956800127,0.0006897501571652934
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,blocked,raw_metric_not_valid,1730769,1800652,1242,0.0007176000956800127,0.0006897501571652934
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,blocked,share_field_status_invalid,1730769,1800652,88,5.084445122370461e-05,4.887118665905461e-05
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,blocked,window_insufficient,1730769,1800652,3,1.7333335644444752e-06,1.6660631815586798e-06
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,unknown,insufficient_strict_past_history,1730769,1800652,95727,0.05530894070785876,0.053162410060355915
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,unknown,raw_metric_not_valid,1730769,1800652,66722,0.03855049402895476,0.03705435586665275
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,unknown,share_field_status_invalid,1730769,1800652,3700,0.0021377780628148526,0.002054811257255705
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,unknown,turnover_field_status_invalid,1730769,1800652,1653,0.0009550667940089059,0.0009180008130388326
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,unknown,window_insufficient,1730769,1800652,63197,0.036513827090732504,0.0350967316283213
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,120,valid,valid_no_blocker,1730769,1800652,1567078,0.9054229651675064,0.8702836528102043
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,blocked,provider_turnover_crosscheck_fail,1730769,1800652,1242,0.0007176000956800127,0.0006897501571652934
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,blocked,raw_metric_not_valid,1730769,1800652,1242,0.0007176000956800127,0.0006897501571652934
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,blocked,share_field_status_invalid,1730769,1800652,88,5.084445122370461e-05,4.887118665905461e-05
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,blocked,window_insufficient,1730769,1800652,3,1.7333335644444752e-06,1.6660631815586798e-06
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,unknown,insufficient_strict_past_history,1730769,1800652,198802,0.11486339309289685,0.11040556420674288
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,unknown,raw_metric_not_valid,1730769,1800652,66722,0.03855049402895476,0.03705435586665275
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,unknown,share_field_status_invalid,1730769,1800652,3700,0.0021377780628148526,0.002054811257255705
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,unknown,turnover_field_status_invalid,1730769,1800652,1653,0.0009550667940089059,0.0009180008130388326
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,unknown,window_insufficient,1730769,1800652,63197,0.036513827090732504,0.0350967316283213
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,250,valid,valid_no_blocker,1730769,1800652,1464003,0.8458685127824683,0.8130404986638173
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,blocked,provider_turnover_crosscheck_fail,1730769,1800652,1242,0.0007176000956800127,0.0006897501571652934
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,blocked,raw_metric_not_valid,1730769,1800652,1242,0.0007176000956800127,0.0006897501571652934
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,blocked,share_field_status_invalid,1730769,1800652,88,5.084445122370461e-05,4.887118665905461e-05
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,blocked,window_insufficient,1730769,1800652,3,1.7333335644444752e-06,1.6660631815586798e-06
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,unknown,insufficient_strict_past_history,1730769,1800652,395537,0.22853251935989147,0.21966321088139185
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,unknown,raw_metric_not_valid,1730769,1800652,66722,0.03855049402895476,0.03705435586665275
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,unknown,share_field_status_invalid,1730769,1800652,3700,0.0021377780628148526,0.002054811257255705
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,unknown,turnover_field_status_invalid,1730769,1800652,1653,0.0009550667940089059,0.0009180008130388326
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,unknown,window_insufficient,1730769,1800652,63197,0.036513827090732504,0.0350967316283213
indicator_score,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,500,valid,valid_no_blocker,1730769,1800652,1267268,0.7321993865154738,0.7037828519891683
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,120,unknown,insufficient_strict_past_history,1730769,1745969,95957,0.05544182961446617,0.05495916594166334
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,120,unknown,raw_metric_not_valid,1730769,1745969,15200,0.00878222339318534,0.008705767399077533
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,120,unknown,window_insufficient,1730769,1745969,15200,0.00878222339318534,0.008705767399077533
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,120,valid,valid_no_blocker,1730769,1745969,1619612,0.9357759469923485,0.9276292992601816
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,250,unknown,insufficient_strict_past_history,1730769,1745969,199282,0.11514072646320797,0.11413833808045848
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,250,unknown,raw_metric_not_valid,1730769,1745969,15200,0.00878222339318534,0.008705767399077533
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,250,unknown,window_insufficient,1730769,1745969,15200,0.00878222339318534,0.008705767399077533
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,250,valid,valid_no_blocker,1730769,1745969,1516287,0.8760770501436067,0.8684501271213865
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,500,unknown,insufficient_strict_past_history,1730769,1745969,396565,0.22912647499464112,0.2271317531983672
