candidate_cell_id,metric_id,independent_value,production_value,status
r2_s_pcvt_w250_q20_shared__d2__g1,confirmed_event_coverage,0.7704153056462902,0.7704153056462902,passed
r2_s_pcvt_w250_q20_shared__d2__g1,raw_false_bridged_days,7,7,passed
r2_s_pcvt_w250_q20_shared__d2__g2,confirmed_days,2143,2143,passed
r2_s_pcvt_w250_q20_shared__d2__g2,qualified_components,532,532,passed
r2_s_pcvt_w250_q20_shared__d2__g2,event_count,519,519,passed
r2_s_pcvt_w250_q20_shared__d2__g2,confirmed_event_coverage,0.7704153056462902,0.7704153056462902,passed
r2_s_pcvt_w250_q20_shared__d2__g2,raw_false_bridged_days,19,19,passed
r2_s_pcvt_w250_q20_shared__d3__g0,confirmed_days,2143,2143,passed
r2_s_pcvt_w250_q20_shared__d3__g0,qualified_components,275,275,passed
r2_s_pcvt_w250_q20_shared__d3__g0,event_count,275,275,passed
r2_s_pcvt_w250_q20_shared__d3__g0,confirmed_event_coverage,0.5305646290247317,0.5305646290247317,passed
r2_s_pcvt_w250_q20_shared__d3__g0,raw_false_bridged_days,0,0,passed
r2_s_pcvt_w250_q20_shared__d3__g1,confirmed_days,2143,2143,passed
r2_s_pcvt_w250_q20_shared__d3__g1,qualified_components,275,275,passed
r2_s_pcvt_w250_q20_shared__d3__g1,event_count,273,273,passed
r2_s_pcvt_w250_q20_shared__d3__g1,confirmed_event_coverage,0.5305646290247317,0.5305646290247317,passed
r2_s_pcvt_w250_q20_shared__d3__g1,raw_false_bridged_days,2,2,passed
r2_s_pcvt_w250_q20_shared__d3__g2,confirmed_days,2143,2143,passed
r2_s_pcvt_w250_q20_shared__d3__g2,qualified_components,275,275,passed
r2_s_pcvt_w250_q20_shared__d3__g2,event_count,272,272,passed
r2_s_pcvt_w250_q20_shared__d3__g2,confirmed_event_coverage,0.5305646290247317,0.5305646290247317,passed
r2_s_pcvt_w250_q20_shared__d3__g2,raw_false_bridged_days,4,4,passed
r2_s_pcvt_w250_qv30_primary__d1__g0,confirmed_days,3591,3591,passed
r2_s_pcvt_w250_qv30_primary__d1__g0,qualified_components,1674,1674,passed
r2_s_pcvt_w250_qv30_primary__d1__g0,event_count,1674,1674,passed
r2_s_pcvt_w250_qv30_primary__d1__g0,confirmed_event_coverage,1.0,1.0,passed
r2_s_pcvt_w250_qv30_primary__d1__g0,raw_false_bridged_days,0,0,passed
r2_s_pcvt_w250_qv30_primary__d1__g1,confirmed_days,3591,3591,passed
r2_s_pcvt_w250_qv30_primary__d1__g1,qualified_components,1674,1674,passed
r2_s_pcvt_w250_qv30_primary__d1__g1,event_count,1625,1625,passed
r2_s_pcvt_w250_qv30_primary__d1__g1,confirmed_event_coverage,1.0,1.0,passed
r2_s_pcvt_w250_qv30_primary__d1__g1,raw_false_bridged_days,49,49,passed
r2_s_pcvt_w250_qv30_primary__d1__g2,confirmed_days,3591,3591,passed
r2_s_pcvt_w250_qv30_primary__d1__g2,qualified_components,1674,1674,passed
r2_s_pcvt_w250_qv30_primary__d1__g2,event_count,1592,1592,passed
r2_s_pcvt_w250_qv30_primary__d1__g2,confirmed_event_coverage,1.0,1.0,passed
