candidate_cell_id,from_state,to_state,reason_code,transition_count,hard_break_count
r2_s_pct_w250_q20_shared__d2__g0,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,1428,0
r2_s_pct_w250_q20_shared__d2__g0,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2250,0
r2_s_pct_w250_q20_shared__d2__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4884,0
r2_s_pct_w250_q20_shared__d2__g0,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,2634,0
r2_s_pct_w250_q20_shared__d2__g0,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,2214,0
r2_s_pct_w250_q20_shared__d2__g0,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4884,0
r2_s_pct_w250_q20_shared__d2__g1,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,1428,0
r2_s_pct_w250_q20_shared__d2__g1,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2250,0
r2_s_pct_w250_q20_shared__d2__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4884,0
r2_s_pct_w250_q20_shared__d2__g1,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,2522,0
r2_s_pct_w250_q20_shared__d2__g1,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w250_q20_shared__d2__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,62,0
r2_s_pct_w250_q20_shared__d2__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,49,0
r2_s_pct_w250_q20_shared__d2__g1,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,2214,0
r2_s_pct_w250_q20_shared__d2__g1,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4884,0
r2_s_pct_w250_q20_shared__d2__g1,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,49,0
r2_s_pct_w250_q20_shared__d2__g1,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,62,0
r2_s_pct_w250_q20_shared__d2__g2,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,1428,0
r2_s_pct_w250_q20_shared__d2__g2,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2250,0
r2_s_pct_w250_q20_shared__d2__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4884,0
r2_s_pct_w250_q20_shared__d2__g2,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,2444,0
r2_s_pct_w250_q20_shared__d2__g2,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w250_q20_shared__d2__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,109,0
r2_s_pct_w250_q20_shared__d2__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,80,0
r2_s_pct_w250_q20_shared__d2__g2,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,2214,0
r2_s_pct_w250_q20_shared__d2__g2,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4884,0
r2_s_pct_w250_q20_shared__d2__g2,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,80,0
r2_s_pct_w250_q20_shared__d2__g2,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,109,0
r2_s_pct_w250_q20_shared__d3__g0,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,1076,0
r2_s_pct_w250_q20_shared__d3__g0,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,3442,0
r2_s_pct_w250_q20_shared__d3__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4884,0
r2_s_pct_w250_q20_shared__d3__g0,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,1442,0
r2_s_pct_w250_q20_shared__d3__g0,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,1210,0
r2_s_pct_w250_q20_shared__d3__g0,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4884,0
r2_s_pct_w250_q20_shared__d3__g1,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,1076,0
r2_s_pct_w250_q20_shared__d3__g1,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,3442,0
r2_s_pct_w250_q20_shared__d3__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,4884,0
r2_s_pct_w250_q20_shared__d3__g1,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,1383,0
r2_s_pct_w250_q20_shared__d3__g1,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w250_q20_shared__d3__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,22,0
r2_s_pct_w250_q20_shared__d3__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,36,0
r2_s_pct_w250_q20_shared__d3__g1,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,1210,0
r2_s_pct_w250_q20_shared__d3__g1,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,4884,0
r2_s_pct_w250_q20_shared__d3__g1,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,36,0
r2_s_pct_w250_q20_shared__d3__g1,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,22,0
