security_id,indicator_id,row_count,valid_count,valid_rate,zero_count,zero_rate_among_valid,first_date,last_date,first_valid_date,last_valid_date,min_value,median_value,max_value
000166.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2403,0.9438334642576591,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,1.1826954677829349e-05,0.016121455588864464,0.2851947328803748
000166.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2365,0.9289080911233307,25,0.010570824524312896,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,0.95
000166.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2365,0.9289080911233307,38,0.016067653276955602,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.0022033566458776743,0.025145013493010838
000301.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2042,0.8020424194815396,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,5.140649948787157e-05,0.02856293269152843,0.2677262304190662
000301.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,1947,0.7647289866457188,8,0.004108885464817668,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,1.0
000301.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,1947,0.7647289866457188,13,0.00667693888032871,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.0037156689637726005,0.027457932455147605
000333.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2210,0.8680282796543598,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,4.314997178234137e-06,0.02382482443140388,0.18079513898390243
000333.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2137,0.8393558523173605,11,0.005147402901263453,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.5,0.95
000333.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2137,0.8393558523173605,24,0.011230697239120261,2016-01-04,2026-06-30,2016-04-29,2026-06-30,0.0,0.0035025165942912826,0.013323041494926535
000338.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2426,0.9528672427336999,0,0.0,2016-01-04,2026-06-30,2016-04-01,2026-06-30,6.862489732029076e-07,0.027035329989173462,0.21480902879274577
