security_id,indicator_id,row_count,present_count,valid_count,valid_rate_expected,valid_rate_present,unknown_count,blocked_count,diagnostic_required_count,first_date,last_date,first_valid_date,last_valid_date
000408.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2507,1864,0.7321288295365279,0.7435181491822895,76,606,0,2016-01-04,2026-06-30,2016-08-19,2026-06-30
000408.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2507,1864,0.7321288295365279,0.7435181491822895,76,606,0,2016-01-04,2026-06-30,2016-08-19,2026-06-30
000415.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2239,2072,0.8138256087981147,0.925413130861992,20,454,0,2016-01-04,2026-06-30,2017-03-23,2026-06-30
000415.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2239,2034,0.7989002356637863,0.9084412684234033,20,492,0,2016-01-04,2026-06-30,2017-04-21,2026-06-30
000415.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2239,2034,0.7989002356637863,0.9084412684234033,20,492,0,2016-01-04,2026-06-30,2017-04-21,2026-06-30
000423.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2546,2487,0.9768263943440691,0.9768263943440691,59,0,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000423.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2546,2468,0.969363707776905,0.969363707776905,78,0,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000423.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2546,2468,0.969363707776905,0.969363707776905,78,0,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000425.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2513,2233,0.8770620581304006,0.8885793871866295,59,254,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000425.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2513,2157,0.8472113118617439,0.8583366494230004,78,311,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000425.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2513,2157,0.8472113118617439,0.8583366494230004,78,311,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000429.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2541,2478,0.9732914375490966,0.9752066115702479,4,64,0,2016-01-04,2026-06-30,2016-04-15,2026-06-30
000429.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2541,2459,0.9658287509819324,0.9677292404565132,4,83,0,2016-01-04,2026-06-30,2016-05-13,2026-06-30
000429.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2541,2459,0.9658287509819324,0.9677292404565132,4,83,0,2016-01-04,2026-06-30,2016-05-13,2026-06-30
000513.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2542,2424,0.9520816967792616,0.953579858379229,59,63,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000513.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2542,2386,0.9371563236449332,0.9386309992132179,78,82,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000513.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2542,2386,0.9371563236449332,0.9386309992132179,78,82,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000519.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2539,2362,0.9277297721916732,0.9302875147695944,59,125,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000519.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2539,2305,0.9053417124901807,0.9078377313903111,78,163,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000519.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2539,2305,0.9053417124901807,0.9078377313903111,78,163,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000528.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2525,2320,0.9112333071484682,0.9188118811881189,59,167,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000528.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2525,2263,0.8888452474469757,0.8962376237623763,78,205,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000528.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2525,2263,0.8888452474469757,0.8962376237623763,78,205,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000537.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2473,2296,0.9018067556952082,0.9284270117266478,59,191,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000537.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2473,2251,0.8841319717203456,0.9102304892842701,66,229,0,2016-01-04,2026-06-30,2016-11-16,2026-06-30
000537.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2473,2251,0.8841319717203456,0.9102304892842701,66,229,0,2016-01-04,2026-06-30,2016-11-16,2026-06-30
000538.SZ,A1_LogBodyCenterToMACloudCenter_5_60,2546,2382,2037,0.8000785545954439,0.8551637279596978,59,450,0,2016-01-04,2026-06-30,2016-04-01,2026-06-30
000538.SZ,A2_BodyCenterOutsideMACloudRate20_5_60,2546,2382,1962,0.7706205813040062,0.8236775818639799,78,506,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
000538.SZ,A2b_BodyToMACloudGapMean20_5_60,2546,2382,1962,0.7706205813040062,0.8236775818639799,78,506,0,2016-01-04,2026-06-30,2016-04-29,2026-06-30
