upstream_task,scope_id,year,metric,actual_value,expected_value,absolute_difference,mismatch_count,status
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2018,year_state_true_count,242,242,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2018,year_state_share,0.08228493709622578,0.08228493709622578,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2019,year_state_true_count,317,317,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2019,year_state_share,0.10778646718803128,0.10778646718803128,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2020,year_state_true_count,240,240,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2020,year_state_share,0.08160489629377762,0.08160489629377762,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2021,year_state_true_count,292,292,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2021,year_state_share,0.09928595715742945,0.09928595715742945,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2022,year_state_true_count,496,496,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2022,year_state_share,0.16865011900714044,0.16865011900714044,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2023,year_state_true_count,444,444,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2023,year_state_share,0.1509690581434886,0.1509690581434886,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2024,year_state_true_count,183,183,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2024,year_state_share,0.06222373342400544,0.06222373342400544,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2025,year_state_true_count,409,409,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2025,year_state_share,0.13906834410064603,0.13906834410064603,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2026,year_state_true_count,60,60,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,2026,year_state_share,0.020401224073444406,0.020401224073444406,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,pooled,confirmed_interval_count,1426,1426,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCVT|confirmed,pooled,confirmed_total_duration,2941,2941,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCVT|raw,pooled,eligible_day_count,1730769,1730769,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCVT|raw,pooled,valid_day_count,1503366,1503366,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCVT|raw,pooled,unknown_day_count,226326,226326,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCVT|raw,pooled,blocked_day_count,1077,1077,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCVT|raw,pooled,state_true_day_count,7860,7860,0.0,0,matched
R1-T04,R0_W250_Q20_K3_WEAK_D010|S_PCVT|raw,pooled,state_false_day_count,1495506,1495506,0.0,0,matched
