transition_path,W,q,K,lag_k,primary_stay_out_baseline_probability,unconditional_lag_support_marginal_probability,target_status_standardized_baseline_probability,security_year_standardized_baseline_probability,security_year_matched_anchor_count,security_year_unmatched_stratum_count,security_year_coverage,observed_probability,primary_absolute_difference,target_status_standardized_absolute_difference,security_year_standardized_absolute_difference,warnings
P_TO_T,500,0.3,not_applicable,3,0.23233357829461088,0.252090130699072,0.2516799688259033,0.2185883513132376,23499,1,0.9999574468085106,0.32148936170212766,0.08915578340751679,0.06980939287622434,0.10290101038889007,""
P_TO_T,500,0.3,not_applicable,5,0.24076435907813132,0.252090130699072,0.24968377839252898,0.23360246880111477,23498,1,0.9999574449976595,0.3082258819524235,0.06746152287429219,0.05854210355989453,0.07462341315130874,""
P_TO_T,500,0.3,not_applicable,10,0.25526275319653763,0.252090130699072,0.2562690451903903,0.25881358847690017,23493,1,0.9999574359410913,0.2689197241848983,0.013656970988360662,0.012650678994508002,0.01010613570799812,""
P_TO_T,500,0.3,not_applicable,20,0.2594225551982329,0.252090130699072,0.25883312064549957,0.264271326368953,23478,1,0.9999574087482431,0.24362196004940584,-0.015800595148827035,-0.015211160596093731,-0.02064936631954717,""
P_TO_V,120,0.1,not_applicable,1,0.06627387703944926,0.09278032108165643,0.22593483842825413,0.07446351569805887,25301,2,0.9999209579891712,0.250681737343398,0.18440786030394873,0.024746898915143867,0.17621822164533912,""
P_TO_V,120,0.1,not_applicable,3,0.06985572044181018,0.09278032108165643,0.20410218029787427,0.07899722228946346,25338,1,0.9999605351434547,0.24223528947472275,0.17237956903291257,0.03813310917684848,0.1632380671852593,""
P_TO_V,120,0.1,not_applicable,5,0.07343210105410597,0.09278032108165643,0.18807239365163467,0.08323302166558268,25377,0,1.0,0.22618906884186468,0.1527569677877587,0.038116675190230015,0.14295604717628202,""
P_TO_V,120,0.1,not_applicable,10,0.0811831405345738,0.09278032108165643,0.1551701585870619,0.09197662737059348,25479,0,1.0,0.18548608658110602,0.10430294604653222,0.030315927994044117,0.09350945921051254,""
P_TO_V,120,0.1,not_applicable,20,0.09238339644470941,0.09278032108165643,0.11111746872343141,0.1041941376659727,25677,2,0.9999221153471708,0.11417890104754858,0.02179550460283916,0.0030614323241171665,0.009984763381575876,""
P_TO_V,120,0.2,not_applicable,1,0.10559416569275012,0.16453169529532033,0.29506822881859474,0.11625440320558425,32757,0,1.0,0.32191592636688343,0.2163217606741333,0.026847697548288696,0.20566152316129918,""
P_TO_V,120,0.2,not_applicable,3,0.11143191713350513,0.16453169529532033,0.27583480977397207,0.12298623547175686,32786,0,1.0,0.3236442383944366,0.21221232126093148,0.047809428620464556,0.20065800292267977,""
P_TO_V,120,0.2,not_applicable,5,0.11773086824091428,0.16453169529532033,0.26226750690458434,0.13017446314815942,32816,0,1.0,0.31902120916626037,0.2012903409253461,0.05675370226167603,0.18884674601810095,""
P_TO_V,120,0.2,not_applicable,10,0.13354322984985212,0.16453169529532033,0.23712145371451454,0.1477158006254095,32919,2,0.9999392485039944,0.29248807751890893,0.1589448476690568,0.05536662380439439,0.14477227689349942,""
P_TO_V,120,0.2,not_applicable,20,0.16108036888470248,0.16453169529532033,0.20136895454047388,0.17730368827634482,33091,1,0.9999697812160039,0.2140094282606068,0.05292905937590431,0.012640473720132911,0.036705739984261965,""
P_TO_V,120,0.3,not_applicable,1,0.14700042448786324,0.24561763996431576,0.36519371809861423,0.16028308570227726,37644,3,0.9999203123754881,0.39341780221531597,0.24641737772745273,0.028224084116701742,0.23313471651303871,""
P_TO_V,120,0.3,not_applicable,3,0.1553249618693637,0.24561763996431576,0.34747873975616234,0.1694522537025026,37671,3,0.9999203694855868,0.3990285077241599,0.24370354585479617,0.05154976796799754,0.22957625402165727,""
P_TO_V,120,0.3,not_applicable,5,0.1645497985015667,0.24561763996431576,0.3356521044309405,0.1795621175247292,37689,3,0.9999204075135307,0.39833386394990977,0.23378406544834307,0.06268175951896926,0.21877174642518057,""
P_TO_V,120,0.3,not_applicable,10,0.18927223759700498,0.24561763996431576,0.31722622502738274,0.20656693871247478,37773,2,0.9999470549305096,0.385969556585043,0.19669731898803802,0.06874333155766027,0.17940261787256823,""
P_TO_V,120,0.3,not_applicable,20,0.2362539352356668,0.24561763996431576,0.29417113428928976,0.2565024205627164,37925,1,0.9999736328639983,0.31893687707641194,0.08268294184074515,0.02476574278712218,0.06243445651369556,""
P_TO_V,250,0.1,not_applicable,1,0.04254043964836848,0.06189673108593357,0.1573596745942918,0.053211519859427056,18481,0,1.0,0.17931930090363077,0.13677886125526229,0.02195962630933898,0.12610778104420373,""
P_TO_V,250,0.1,not_applicable,3,0.044559565325694356,0.06189673108593357,0.1417230070186441,0.05658658469500978,18494,1,0.9999459313327926,0.17885915112192485,0.1342995857962305,0.037136144103280755,0.12227256642691507,""
P_TO_V,250,0.1,not_applicable,5,0.04670873117509449,0.06189673108593357,0.13009744651024738,0.060159755001203054,18506,0,1.0,0.17129579595806765,0.12458706478297316,0.041198349447820276,0.1111360409568646,""
P_TO_V,250,0.1,not_applicable,10,0.051532865244438494,0.06189673108593357,0.107775152044459,0.06802329038700558,18529,0,1.0,0.14695882130714016,0.09542595606270167,0.03918366926268116,0.07893553092013458,""
P_TO_V,250,0.1,not_applicable,20,0.05893027162386849,0.06189673108593357,0.0789068839309101,0.0800512613358882,18600,0,1.0,0.0978494623655914,0.03891919074172291,0.018942578434681306,0.017798201029703198,""
P_TO_V,250,0.2,not_applicable,1,0.07834644506707568,0.1285741900802116,0.23685648021295594,0.0929651273191731,25407,2,0.9999212877326932,0.2617970010626156,0.18345055599553994,0.02494052084965967,0.1688318737434425,""
P_TO_V,250,0.2,not_applicable,3,0.0822889050268071,0.1285741900802116,0.22059286136241746,0.09875838441043719,25425,1,0.9999213434538089,0.2682974790576946,0.1860085740308875,0.04770461769527712,0.1695390946472574,""
P_TO_V,250,0.2,not_applicable,5,0.08670565932165987,0.1285741900802116,0.20901672413381467,0.10515028711489291,25442,2,0.9999213960069171,0.2640701147618299,0.17736445544017004,0.05505339062801523,0.158919827646937,""
P_TO_V,250,0.2,not_applicable,10,0.09778178401274655,0.1285741900802116,0.1870917610920855,0.12114819444155397,25478,1,0.9999607519918364,0.2442796028101574,0.14649781879741086,0.0571878417180719,0.12313140836860342,""
