security_id,candidate_variant,baseline_variant,W,q,valid_row_count,baseline_true_count,candidate_true_count,jaccard,baseline_retention,candidate_precision
300002.SZ,c2_only,baseline_pair,120,0.2,2185,526,522,0.8257839721254355,0.9011406844106464,0.9080459770114943
300003.SZ,c2_only,baseline_pair,120,0.2,2327,488,510,0.8379373848987108,0.9323770491803278,0.8921568627450981
300012.SZ,c2_only,baseline_pair,120,0.2,2362,519,531,0.8650088809946714,0.9383429672447013,0.9171374764595104
300014.SZ,c2_only,baseline_pair,120,0.2,2367,614,630,0.879154078549849,0.9478827361563518,0.9238095238095239
300015.SZ,c2_only,baseline_pair,120,0.2,2351,541,541,0.8432708688245315,0.9149722735674677,0.9149722735674677
300017.SZ,c2_only,baseline_pair,120,0.2,2288,487,533,0.7894736842105263,0.9240246406570842,0.8442776735459663
300024.SZ,c2_only,baseline_pair,120,0.2,2367,527,561,0.8103161397670549,0.9240986717267552,0.8680926916221033
300033.SZ,c2_only,baseline_pair,120,0.2,2366,529,572,0.8258706467661692,0.941398865784499,0.8706293706293706
300037.SZ,c2_only,baseline_pair,120,0.2,2367,570,599,0.8265625,0.9280701754385965,0.8831385642737897
300054.SZ,c2_only,baseline_pair,120,0.2,2309,521,512,0.8679927667269439,0.9213051823416507,0.9375
300058.SZ,c2_only,baseline_pair,120,0.2,2301,509,542,0.7693602693602694,0.8978388998035364,0.8431734317343174
300059.SZ,c2_only,baseline_pair,120,0.2,2362,582,595,0.8419405320813772,0.9243986254295533,0.9042016806722689
300073.SZ,c2_only,baseline_pair,120,0.2,2345,571,605,0.7981651376146789,0.9141856392294221,0.8628099173553719
300100.SZ,c2_only,baseline_pair,120,0.2,2022,404,468,0.6833976833976834,0.8762376237623762,0.7564102564102564
300115.SZ,c2_only,baseline_pair,120,0.2,2297,587,586,0.8101851851851852,0.8943781942078365,0.8959044368600683
300122.SZ,c2_only,baseline_pair,120,0.2,2367,541,564,0.8697123519458545,0.9500924214417745,0.9113475177304965
300124.SZ,c2_only,baseline_pair,120,0.2,2356,528,539,0.9053571428571429,0.9602272727272727,0.9406307977736549
300136.SZ,c2_only,baseline_pair,120,0.2,2367,516,543,0.8321799307958477,0.9321705426356589,0.8858195211786372
300140.SZ,c2_only,baseline_pair,120,0.2,2212,501,553,0.7278688524590164,0.8862275449101796,0.8028933092224232
300142.SZ,c2_only,baseline_pair,120,0.2,2223,576,592,0.8024691358024691,0.9027777777777778,0.8783783783783784
300144.SZ,c2_only,baseline_pair,120,0.2,2365,531,545,0.8393162393162393,0.9246704331450094,0.9009174311926605
300146.SZ,c2_only,baseline_pair,120,0.2,2247,524,560,0.8435374149659864,0.9465648854961832,0.8857142857142857
300207.SZ,c2_only,baseline_pair,120,0.2,2354,538,527,0.875,0.9237918215613383,0.9430740037950665
300223.SZ,c2_only,baseline_pair,120,0.2,1904,384,419,0.841743119266055,0.9557291666666666,0.8758949880668258
300251.SZ,c2_only,baseline_pair,120,0.2,2333,473,504,0.8159851301115242,0.9281183932346723,0.871031746031746
300274.SZ,c2_only,baseline_pair,120,0.2,2302,582,569,0.8745928338762216,0.9226804123711341,0.9437609841827768
300285.SZ,c2_only,baseline_pair,120,0.2,2267,509,526,0.8482142857142857,0.9332023575638507,0.903041825095057
300308.SZ,c2_only,baseline_pair,120,0.2,2112,543,542,0.8421052631578947,0.9134438305709024,0.915129151291513
300316.SZ,c2_only,baseline_pair,120,0.2,2359,566,605,0.8646496815286624,0.9593639575971732,0.8975206611570248
300339.SZ,c2_only,baseline_pair,120,0.2,2222,528,543,0.7731788079470199,0.884469696969697,0.860036832412523
300346.SZ,c2_only,baseline_pair,120,0.2,2299,503,554,0.8037542662116041,0.9363817097415507,0.8501805054151624
300373.SZ,c2_only,baseline_pair,120,0.2,2350,565,581,0.790625,0.8955752212389381,0.8709122203098106
300383.SZ,c2_only,baseline_pair,120,0.2,2191,492,518,0.7876106194690266,0.9044715447154471,0.859073359073359
300390.SZ,c2_only,baseline_pair,120,0.2,2299,527,521,0.8548672566371681,0.9165085388994307,0.927063339731286
300394.SZ,c2_only,baseline_pair,120,0.2,2355,523,559,0.8464163822525598,0.9483747609942639,0.8872987477638641
300395.SZ,c2_only,baseline_pair,120,0.2,2306,491,518,0.8245931283905967,0.9287169042769857,0.8803088803088803
