source_level,layer,indicator_id,raw_source_indicator_id,W,validity_status,reason_code,row_count,ratio_within_indicator_W
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,120,valid,valid_no_blocker,1619612,0.9276292992601816
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,250,unknown,insufficient_strict_past_history,199282,0.11413833808045848
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,250,unknown,raw_metric_not_valid,15200,0.008705767399077533
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,250,unknown,window_insufficient,15200,0.008705767399077533
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,250,valid,valid_no_blocker,1516287,0.8684501271213865
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,500,unknown,insufficient_strict_past_history,396565,0.2271317531983672
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,500,unknown,raw_metric_not_valid,15200,0.008705767399077533
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,500,unknown,window_insufficient,15200,0.008705767399077533
indicator_score,V,V2_AmountLevel20Pct,V2_LogAmount20_base,500,valid,valid_no_blocker,1319004,0.7554567120034777
raw_metric,C,C1_LogMASpread_5_60,C1_LogMASpread_5_60,,unknown,window_insufficient,47200,0.027271114747259743
raw_metric,C,C1_LogMASpread_5_60,C1_LogMASpread_5_60,,valid,valid_no_blocker,1683569,0.9727288852527403
raw_metric,C,C2_AdjVWAPSpread_5_60,C2_AdjVWAPSpread_5_60,,blocked,daily_vwap_range_fail,32505,0.0186908095613223
raw_metric,C,C2_AdjVWAPSpread_5_60,C2_AdjVWAPSpread_5_60,,blocked,window_insufficient,8321,0.004784686243955172
raw_metric,C,C2_AdjVWAPSpread_5_60,C2_AdjVWAPSpread_5_60,,unknown,window_insufficient,38879,0.022355944775716036
raw_metric,C,C2_AdjVWAPSpread_5_60,C2_AdjVWAPSpread_5_60,,valid,valid_no_blocker,1659385,0.9541685594190065
raw_metric,P,P1_NATR14,P1_NATR14,,unknown,window_insufficient,11200,0.006471111973926041
raw_metric,P,P1_NATR14,P1_NATR14,,valid,valid_no_blocker,1719569,0.993528888026074
raw_metric,P,P2_LogRange20,P2_LogRange20,,unknown,window_insufficient,15200,0.00878222339318534
raw_metric,P,P2_LogRange20,P2_LogRange20,,valid,valid_no_blocker,1715569,0.9912177766068146
raw_metric,T,T1_ER20,T1_ER20,,unknown,window_insufficient,16000,0.009244445677037201
raw_metric,T,T1_ER20,T1_ER20,,valid,valid_no_blocker,1714769,0.9907555543229628
raw_metric,T,T2_AbsTrendT20,T2_AbsTrendT20,,unknown,window_insufficient,15200,0.00878222339318534
raw_metric,T,T2_AbsTrendT20,T2_AbsTrendT20,,valid,valid_no_blocker,1715569,0.9912177766068146
raw_metric,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,,blocked,provider_turnover_crosscheck_fail,1242,0.0007168053336780771
raw_metric,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,,blocked,share_field_status_invalid,88,5.078813958427599e-05
raw_metric,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,,blocked,window_insufficient,3,1.7314138494639543e-06
raw_metric,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,,unknown,share_field_status_invalid,3700,0.002135410414338877
raw_metric,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,,unknown,turnover_field_status_invalid,1653,0.0009540090310546388
raw_metric,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,,unknown,window_insufficient,63197,0.03647338701485784
raw_metric,V,V1_TurnoverShrink20_60,V1_TurnoverShrink20_60,,valid,valid_no_blocker,1662805,0.9596678686526369
raw_metric,V,V2_AmountLevel20Pct,V2_LogAmount20_base,,unknown,window_insufficient,15200,0.00878222339318534
raw_metric,V,V2_AmountLevel20Pct,V2_LogAmount20_base,,valid,valid_no_blocker,1715569,0.9912177766068146
