transition_path,W,q,K,lag_k,anchor_year,anchor_event_count,control_anchor_count,target_valid_event_count,target_true_event_count,target_valid_control_count,target_true_control_count,observed_probability,baseline_probability,absolute_difference,relative_lift
P_TO_C,120,0.2,not_applicable,10,2018,2861,112467,2793,969,109669,23294,0.3469387755102041,0.21240277562483473,0.13453599988536935,1.6334003851390302
P_TO_C,120,0.2,not_applicable,10,2019,3869,104688,3816,1344,100662,20106,0.3522012578616352,0.19973773618644572,0.15246352167518948,1.7633185625618186
P_TO_C,120,0.2,not_applicable,10,2020,2615,130890,2569,867,127116,23227,0.3374854028804983,0.18272286730230655,0.15476253557819172,1.846979570007208
P_TO_C,120,0.2,not_applicable,10,2021,3518,130193,3455,1162,126525,24578,0.33632416787264835,0.19425409998024107,0.14207006789240728,1.7313620042349593
P_TO_C,120,0.2,not_applicable,10,2022,4365,132666,4332,1415,130290,26561,0.3266389658356417,0.20386061862000154,0.12277834721564018,1.6022661367691637
P_TO_C,120,0.2,not_applicable,10,2023,4930,127469,4893,1567,126052,27424,0.3202534232577151,0.21756100656871769,0.10269241668899742,1.4720166463127735
P_TO_C,120,0.2,not_applicable,10,2024,3136,163307,3113,923,161032,30143,0.29649855444908446,0.18718639773461176,0.1093121567144727,1.5839748936749816
P_TO_C,120,0.2,not_applicable,10,2025,4251,135855,4233,1482,134286,25566,0.35010630758327427,0.19038470130914614,0.15972160627412813,1.838941391697081
P_TO_C,120,0.2,not_applicable,10,2026,1018,82814,1004,265,74137,10416,0.2639442231075697,0.14049664809744122,0.12344757501012849,1.8786513890673864
P_TO_C,120,0.2,not_applicable,20,2016,1143,25010,813,296,20101,4089,0.3640836408364084,0.20342271528779662,0.16066092554861175,1.7897885215095732
P_TO_C,120,0.2,not_applicable,20,2017,2373,101787,2281,628,98248,18385,0.2753178430512933,0.18712849116521457,0.08818935188607874,1.471276989072802
P_TO_C,120,0.2,not_applicable,20,2018,2861,112467,2802,836,109872,25980,0.2983583154889365,0.23645696810834427,0.06190134738059222,1.261786945319493
P_TO_C,120,0.2,not_applicable,20,2019,3869,104688,3823,1295,100974,21512,0.3387392100444677,0.21304494226236456,0.12569426778210316,1.589989447519063
P_TO_C,120,0.2,not_applicable,20,2020,2615,130890,2568,661,127416,25204,0.257398753894081,0.19780875243297544,0.059590001461105574,1.3012505803113883
P_TO_C,120,0.2,not_applicable,20,2021,3518,130193,3466,1144,126911,26468,0.33006347374495093,0.20855560195727715,0.12150787178767378,1.582616197538366
P_TO_C,120,0.2,not_applicable,20,2022,4365,132666,4337,1348,130610,28617,0.3108139266774268,0.21910267207717632,0.09171125460025048,1.4185766140174971
