transition_path,W,q,K,lag_k,primary_stay_out_baseline_probability,unconditional_lag_support_marginal_probability,target_status_standardized_baseline_probability,target_status_matched_event_count,target_status_matched_true_count,target_status_matched_observed_probability,target_status_matched_event_coverage,security_year_standardized_baseline_probability,security_year_matched_anchor_count,security_year_unmatched_stratum_count,security_year_coverage,observed_probability,primary_absolute_difference,target_status_standardized_absolute_difference,security_year_standardized_absolute_difference,warnings
P_TO_T,120,0.3,not_applicable,5,0.2440615522122881,0.2554524485209542,0.25739943505174445,38916,12203,0.31357282351731935,1.0,0.2425826470153349,38915,1,0.9999743036283277,0.31357282351731935,0.06951127130503126,0.0561733884655749,0.07099017650198444,""
P_TO_T,120,0.3,not_applicable,10,0.26258404556326936,0.2554524485209542,0.26389876621439645,38898,10471,0.2691912180574837,1.0,0.264988039943463,38897,1,0.9999742917373644,0.2691912180574837,0.006607172494214331,0.0052924518430872425,0.004203178114020711,""
P_TO_T,120,0.3,not_applicable,20,0.2680752259919684,0.2554524485209542,0.26721371216242545,38870,9426,0.24250064316953948,1.0,0.2686507538361966,38869,1,0.9999742732184204,0.24250064316953948,-0.025574582822428943,-0.024713068992885973,-0.026150110666657095,""
P_TO_T,250,0.1,not_applicable,1,0.04692835272227702,0.049913724558642555,0.05354367177285399,19245,1463,0.07601974538841258,1.0,0.04410715385997165,19245,0,1.0,0.07601974538841258,0.029091392666135557,0.02247607361555859,0.03191259152844093,""
P_TO_T,250,0.1,not_applicable,3,0.048082995378666414,0.049913724558642555,0.049364379918222324,19245,1336,0.0694206287347363,1.0,0.04633571146095613,19245,0,1.0,0.0694206287347363,0.021337633356069884,0.020056248816513973,0.02308491727378017,""
P_TO_T,250,0.1,not_applicable,5,0.04918827821007999,0.049913724558642555,0.04950609984068902,19245,1244,0.06464016627695506,1.0,0.048360001441762925,19245,0,1.0,0.06464016627695506,0.015451888066875065,0.015134066436266032,0.01628016483519213,""
P_TO_T,250,0.1,not_applicable,10,0.05073441053950724,0.049913724558642555,0.050799051579211156,19244,903,0.04692371648305965,1.0,0.05100166598442809,19244,0,1.0,0.04692371648305965,-0.003810694056447586,-0.003875335096151504,-0.004077949501368437,""
P_TO_T,250,0.1,not_applicable,20,0.051040832971271335,0.049913724558642555,0.050984337711679456,19244,860,0.04468925379339015,1.0,0.05124695812591255,19244,0,1.0,0.04468925379339015,-0.006351579177881185,-0.006295083918289306,-0.006557704332522403,""
P_TO_T,250,0.2,not_applicable,1,0.13456567463023866,0.147648128169344,0.15854093142723807,26385,5270,0.19973469774493083,1.0,0.12629645044167145,26384,1,0.9999620996778472,0.19973469774493083,0.06516902311469217,0.041193766317692754,0.07343824730325937,""
P_TO_T,250,0.2,not_applicable,3,0.13902324895137322,0.147648128169344,0.14844402253715203,26385,5273,0.19984839871138904,1.0,0.1335999307174701,26384,1,0.9999620996778472,0.19984839871138904,0.06082514976001582,0.051404376174237015,0.06624846799391895,""
P_TO_T,250,0.2,not_applicable,5,0.1436645996817209,0.147648128169344,0.14716995044642023,26385,4764,0.18055713473564525,1.0,0.14108353862313575,26384,1,0.9999620996778472,0.18055713473564525,0.03689253505392434,0.03338718428922502,0.0394735961125095,""
P_TO_T,250,0.2,not_applicable,10,0.15075371776497018,0.147648128169344,0.15128324952082287,26382,3953,0.1498370100826321,1.0,0.1522305500121687,26381,1,0.999962095368054,0.1498370100826321,-0.0009167076823380915,-0.0014462394381907773,-0.0023935399295366144,""
P_TO_T,250,0.2,not_applicable,20,0.15228456696794418,0.147648128169344,0.15204376345620274,26376,3626,0.13747346072186836,1.0,0.15342687826608623,26375,1,0.9999620867455262,0.13747346072186836,-0.014811106246075817,-0.014570302734334378,-0.015953417544217863,""
P_TO_T,250,0.3,not_applicable,1,0.22379600175271872,0.25183784835977685,0.2664583310325856,30835,9622,0.3120479974055456,1.0,0.20982860013919175,30833,2,0.9999351386411546,0.3120479974055456,0.0882519956528269,0.045589666372960025,0.10221939726635387,""
P_TO_T,250,0.3,not_applicable,3,0.2321789010650818,0.25183784835977685,0.2550366262491909,30835,9981,0.3236906113183071,1.0,0.2222680668373014,30833,2,0.9999351386411546,0.3236906113183071,0.09151171025322533,0.06865398506911624,0.10142254448100571,""
P_TO_T,250,0.3,not_applicable,5,0.24135900533670723,0.25183784835977685,0.25212543735896054,30833,9682,0.314014205558979,1.0,0.23619156124639035,30831,2,0.9999351344338858,0.314014205558979,0.07265520022227179,0.061888768200018485,0.07782264431258867,""
P_TO_T,250,0.3,not_applicable,10,0.2576370846307282,0.25183784835977685,0.2588673192038934,30828,8356,0.27105229012585963,1.0,0.2605156688775964,30826,2,0.9999351239133255,0.27105229012585963,0.013415205495131421,0.012184970921966243,0.010536621248263212,""
P_TO_T,250,0.3,not_applicable,20,0.2619016239522617,0.25183784835977685,0.26122728579846993,30816,7286,0.23643561786085152,1.0,0.2645596111632602,30814,2,0.9999350986500519,0.23643561786085152,-0.02546600609141017,-0.024791667937618417,-0.028123993302408695,""
P_TO_T,500,0.1,not_applicable,1,0.044755305028356694,0.047523211241834624,0.049863860751466135,14436,1000,0.06927126627874758,1.0,0.04170240757446529,14435,1,0.9999307287337212,0.06927126627874758,0.024515961250390884,0.019407405527281443,0.027568858704282287,""
P_TO_T,500,0.1,not_applicable,3,0.04576533034134553,0.047523211241834624,0.046676698034314124,14436,1019,0.07058742033804379,1.0,0.04413622855920229,14435,1,0.9999307287337212,0.07058742033804379,0.024822089996698257,0.023910722303729662,0.026451191778841497,""
P_TO_T,500,0.1,not_applicable,5,0.04674179831990873,0.047523211241834624,0.046942032822234615,14436,854,0.05915766140205043,1.0,0.04657453088121598,14435,1,0.9999307287337212,0.05915766140205043,0.012415863082141695,0.012215628579815813,0.01258313052083445,""
P_TO_T,500,0.1,not_applicable,10,0.04801522778811174,0.047523211241834624,0.0480887260373394,14436,650,0.045026323081185926,1.0,0.04923327547936289,14435,1,0.9999307287337212,0.045026323081185926,-0.002988904706925817,-0.0030624029561534746,-0.0042069523981769635,""
P_TO_T,500,0.1,not_applicable,20,0.048241076160516046,0.047523211241834624,0.04820791502223301,14436,601,0.04163203103352729,1.0,0.049180057359501025,14435,1,0.9999307287337212,0.04163203103352729,-0.006609045126988754,-0.006575883988705719,-0.0075480263259737335,""
P_TO_T,500,0.2,not_applicable,1,0.13364665380505472,0.1459939509292462,0.15521428224090283,20189,3949,0.19560156520877706,1.0,0.12262093554211563,20189,0,1.0,0.19560156520877706,0.061954911403722335,0.04038728296787422,0.07298062966666143,""
P_TO_T,500,0.2,not_applicable,3,0.1376425524084396,0.1459939509292462,0.14569971548244592,20189,3990,0.19763237406508494,1.0,0.13021568601979888,20189,0,1.0,0.19763237406508494,0.05998982165664535,0.05193265858263901,0.06741668804528606,""
P_TO_T,500,0.2,not_applicable,5,0.14171852038663557,0.1459939509292462,0.14463787024944696,20189,3622,0.17940462628163853,1.0,0.1381147020916704,20189,0,1.0,0.17940462628163853,0.03768610589500296,0.034766756032191565,0.04128992418996813,""
P_TO_T,500,0.2,not_applicable,10,0.1478120490655616,0.1459939509292462,0.1482587669096456,20187,3184,0.1577252687373062,1.0,0.14988884707550532,20187,0,1.0,0.1577252687373062,0.009913219671744578,0.009466501827660595,0.007836421661800874,""
