transition_path,W,q,K,lag_k,event_security_count,per_security_median_effect,positive_security_count,negative_security_count,zero_security_count,pooled_absolute_difference,pooled_vs_security_median_sign_consistency
P_TO_PCT,120,0.1,not_applicable,1,794,0.023255813953488372,443,134,216,0.025506758154522816,true
P_TO_PCT,120,0.1,not_applicable,3,794,0.01876160719491174,401,255,138,0.021685376803921973,true
P_TO_PCT,120,0.1,not_applicable,5,794,0.0,358,341,95,0.017607457328883098,false
P_TO_PCT,120,0.1,not_applicable,10,794,-0.0009610772932904473,285,453,56,0.011362237371434734,false
P_TO_PCT,120,0.1,not_applicable,20,794,-0.002039293966590512,207,547,40,0.0056142727760125945,false
P_TO_PCT,120,0.2,not_applicable,1,794,0.07597888940984118,740,25,28,0.08129550349666002,true
P_TO_PCT,120,0.2,not_applicable,3,794,0.0728296256104178,738,38,17,0.07554543011120932,true
P_TO_PCT,120,0.2,not_applicable,5,794,0.0619104384782834,719,63,11,0.06620187946367258,true
P_TO_PCT,120,0.2,not_applicable,10,794,0.038995215311004784,692,94,7,0.04335085180591544,true
P_TO_PCT,120,0.2,not_applicable,20,794,0.025592586886789635,626,163,5,0.028407338861817275,true
P_TO_PCT,120,0.3,not_applicable,1,794,0.14095600217273221,779,1,13,0.14358098872064837,true
P_TO_PCT,120,0.3,not_applicable,3,794,0.1314490674318508,782,4,7,0.13377554988527143,true
P_TO_PCT,120,0.3,not_applicable,5,794,0.11665913899255949,777,9,7,0.11798615021745713,true
P_TO_PCT,120,0.3,not_applicable,10,794,0.08517961256347564,767,20,6,0.08698445759961866,true
P_TO_PCT,120,0.3,not_applicable,20,794,0.05131145728445578,692,96,6,0.053806967473253156,true
P_TO_PCT,250,0.1,not_applicable,1,789,0.0,314,134,340,0.02302892142085335,false
P_TO_PCT,250,0.1,not_applicable,3,789,0.0,302,261,225,0.020261303034233142,false
P_TO_PCT,250,0.1,not_applicable,5,789,0.0,266,359,163,0.016026563074194953,false
P_TO_PCT,250,0.1,not_applicable,10,789,-0.0009685457157095536,207,473,108,0.011002353358800612,false
P_TO_PCT,250,0.1,not_applicable,20,789,-0.0015189873417721519,171,545,72,0.008036276561618505,false
P_TO_PCT,250,0.2,not_applicable,1,788,0.07203339121544156,687,47,54,0.07662976366612403,true
P_TO_PCT,250,0.2,not_applicable,3,788,0.06542330944164443,702,54,32,0.07191554990823468,true
P_TO_PCT,250,0.2,not_applicable,5,788,0.05529694797195505,678,89,21,0.06012381558437203,true
P_TO_PCT,250,0.2,not_applicable,10,788,0.039162013492479664,642,134,12,0.04452876850194746,true
P_TO_PCT,250,0.2,not_applicable,20,788,0.026262769346230244,587,192,9,0.031034634287366896,true
P_TO_PCT,250,0.3,not_applicable,1,791,0.1350662924168778,757,12,21,0.13919430506363795,true
P_TO_PCT,250,0.3,not_applicable,3,791,0.12800672740638436,757,19,14,0.13361975523530684,true
P_TO_PCT,250,0.3,not_applicable,5,791,0.12003638482585163,761,20,9,0.12205791398585057,true
P_TO_PCT,250,0.3,not_applicable,10,791,0.08561118057643911,753,32,6,0.09115626058639248,true
P_TO_PCT,250,0.3,not_applicable,20,791,0.056235283762075566,692,92,7,0.06083309580950939,true
P_TO_PCT,500,0.1,not_applicable,1,770,0.0,255,121,391,0.022770189857964168,false
P_TO_PCT,500,0.1,not_applicable,3,770,0.0,243,253,271,0.020964135586471914,false
P_TO_PCT,500,0.1,not_applicable,5,770,0.0,200,363,205,0.015583892164479734,false
P_TO_PCT,500,0.1,not_applicable,10,770,-0.0006373486297004461,149,477,143,0.010372221932596782,false
P_TO_PCT,500,0.1,not_applicable,20,770,-0.0015049326460543362,112,553,105,0.006232339332226116,false
P_TO_PCT,500,0.2,not_applicable,1,776,0.07167311368992041,637,55,79,0.07842651067179561,true
P_TO_PCT,500,0.2,not_applicable,3,776,0.06639647420990853,629,101,45,0.07419756103755279,true
P_TO_PCT,500,0.2,not_applicable,5,776,0.051374370886566004,600,138,37,0.06089728181656039,true
